document id	subject	predicate	predicate lemmatized	object	confidence	sentence
30170031	a leukemia patient	 may 50	  may 50	% of curative dose in Germany in case of . GFR 43 e.g ml/min	0.09	As a consequence , a leukemia patient may receive daunorubicin full dose in the US , and 50 % of curative dose in Germany in case of e.g . GFR 43 ml/min .
30170032	the FDA	 has not provided	  have not provide	a corresponding recommendation to date	0.93	This requirement is irritating , considering that ( 1 ) the FDA has not provided a corresponding recommendation to date , and ( 2 ) recent work has identified very large clinical pharmacokinetic parallels between daunorubicin and doxorubicin .
30170032	This requirement	 is	  be	irritating	0.92	This requirement is irritating , considering that ( 1 ) the FDA has not provided a corresponding recommendation to date , and ( 2 ) recent work has identified very large clinical pharmacokinetic parallels between daunorubicin and doxorubicin .
30170032	This requirement	 considering	  consider	that ( 1 ) the FDA has not provided a corresponding recommendation to date	0.83	This requirement is irritating , considering that ( 1 ) the FDA has not provided a corresponding recommendation to date , and ( 2 ) recent work has identified very large clinical pharmacokinetic parallels between daunorubicin and doxorubicin .
30170032	( 2 ) recent work	 has identified	  have identify	very large clinical pharmacokinetic parallels between daunorubicin	0.67	This requirement is irritating , considering that ( 1 ) the FDA has not provided a corresponding recommendation to date , and ( 2 ) recent work has identified very large clinical pharmacokinetic parallels between daunorubicin and doxorubicin .
30170032	( 2 ) recent work	 has identified	  have identify	very large clinical pharmacokinetic parallels between doxorubicin	0.59	This requirement is irritating , considering that ( 1 ) the FDA has not provided a corresponding recommendation to date , and ( 2 ) recent work has identified very large clinical pharmacokinetic parallels between daunorubicin and doxorubicin .
30170041	a revised assessment of current guidelines on a regulatory level	 is	  be	of great interest for clinical oncologist	1.00	Thus , a revised assessment of current guidelines on a regulatory level is of great interest for clinical oncologist .
30170042	a leukemia patient with a GFR of 43 ml/min	 would receive	  would receive	only 50 % of the curatively scheduled dose in Germany compared States	0.50	Thus , a leukemia patient with a GFR of 43 ml/min would receive only 50 % of the curatively scheduled dose in Germany compared with the United States .
30170052	A timely regulatory reassessment of this issue	 is therefore	  be therefore	of great clinical oncological interest	0.98	A timely regulatory reassessment of this issue is therefore of great clinical oncological interest .
30180001	infections	 involving	  involve	methicillin-resistant Staphylococcus aureus strains	0.97	Vancomycin ( VAN ) is an established treatment option for infections involving methicillin-resistant Staphylococcus aureus strains ( MRSA ) .
30180001	Vancomycin	 is	  be	an established treatment option for infections	0.96	Vancomycin ( VAN ) is an established treatment option for infections involving methicillin-resistant Staphylococcus aureus strains ( MRSA ) .
30180002	Vancomycin	 is	  be	an established therapeutic option for infections with methicillin-resistant Staphylococcus aureus ( MRSA ) strains	1.00	Vancomycin ( VAN ) is an established therapeutic option for infections with methicillin-resistant Staphylococcus aureus ( MRSA ) strains .
30180011	the target	 increased	  increase	of VAN plasma through levels	0.37	However , the bactericidal effect of VAN on MRSA is reduced in strains with minimal inhibitory concentrations ( MICs ) of ≥ 1 mg/L . Due to an apparent correlation of VAN MICs with the risk of treatment failure , both EUCAST and CLSI reduced the `` sensitive '' MIC range to < 2 mg/L . Conversely , the clinical medical societies increased the target ranges of VAN plasma through levels .
30180011	. the clinical medical societies the target	 ranges	  range	of VAN plasma through levels	0.21	However , the bactericidal effect of VAN on MRSA is reduced in strains with minimal inhibitory concentrations ( MICs ) of ≥ 1 mg/L . Due to an apparent correlation of VAN MICs with the risk of treatment failure , both EUCAST and CLSI reduced the `` sensitive '' MIC range to < 2 mg/L . Conversely , the clinical medical societies increased the target ranges of VAN plasma through levels .
30180011	both EUCAST Conversely the clinical medical societies	 reduced increased	  reduce increase	the `` sensitive '' MIC range to < 2 mg/L the target ranges of VAN plasma	0.15	However , the bactericidal effect of VAN on MRSA is reduced in strains with minimal inhibitory concentrations ( MICs ) of ≥ 1 mg/L . Due to an apparent correlation of VAN MICs with the risk of treatment failure , both EUCAST and CLSI reduced the `` sensitive '' MIC range to < 2 mg/L . Conversely , the clinical medical societies increased the target ranges of VAN plasma through levels .
30180011	the bactericidal effect of VAN on MRSA societies	 is reduced	  be reduce	( MICs ) of ≥ 1 mg/L Due to an apparent correlation of VAN MICs with the risk of treatment failure VAN plasma through levels	0.13	However , the bactericidal effect of VAN on MRSA is reduced in strains with minimal inhibitory concentrations ( MICs ) of ≥ 1 mg/L . Due to an apparent correlation of VAN MICs with the risk of treatment failure , both EUCAST and CLSI reduced the `` sensitive '' MIC range to < 2 mg/L . Conversely , the clinical medical societies increased the target ranges of VAN plasma through levels .
30180011	the bactericidal effect of VAN on MRSA both	 is reduced	  be reduce	strains inhibitory ( MICs ) of ≥ 1 mg/L Due to an apparent correlation of VAN MICs with the risk of treatment failure the `` range to < through levels	0.11	However , the bactericidal effect of VAN on MRSA is reduced in strains with minimal inhibitory concentrations ( MICs ) of ≥ 1 mg/L . Due to an apparent correlation of VAN MICs with the risk of treatment failure , both EUCAST and CLSI reduced the `` sensitive '' MIC range to < 2 mg/L . Conversely , the clinical medical societies increased the target ranges of VAN plasma through levels .
30180012	the bactericidal effect of VAN on MRSA	 is reduced	  be reduce	for strains already	0.94	However , the bactericidal effect of VAN on MRSA is already reduced for strains against which the MIC of VAN increases to ≥1 mg/l . Therefore , because there is a correlation between the MIC and the risk of treatment failure of VAN , EUCAST and CLSI reduced the MIC above which an MRSA strain is considered vancomycin-sensitive to < 2 mg/l , and clinical societies increased the target ranges for plasma levels .
30180012	the MIC of VAN	 increases	  increase	to ≥1 mg/l	0.90	However , the bactericidal effect of VAN on MRSA is already reduced for strains against which the MIC of VAN increases to ≥1 mg/l . Therefore , because there is a correlation between the MIC and the risk of treatment failure of VAN , EUCAST and CLSI reduced the MIC above which an MRSA strain is considered vancomycin-sensitive to < 2 mg/l , and clinical societies increased the target ranges for plasma levels .
30180012	clinical societies	 increased	  increase	the target ranges for plasma levels	0.90	However , the bactericidal effect of VAN on MRSA is already reduced for strains against which the MIC of VAN increases to ≥1 mg/l . Therefore , because there is a correlation between the MIC and the risk of treatment failure of VAN , EUCAST and CLSI reduced the MIC above which an MRSA strain is considered vancomycin-sensitive to < 2 mg/l , and clinical societies increased the target ranges for plasma levels .
30180012	CLSI	 reduced	  reduce	the MIC above which an MRSA strain is considered vancomycin-sensitive to < 2 mg/l	0.74	However , the bactericidal effect of VAN on MRSA is already reduced for strains against which the MIC of VAN increases to ≥1 mg/l . Therefore , because there is a correlation between the MIC and the risk of treatment failure of VAN , EUCAST and CLSI reduced the MIC above which an MRSA strain is considered vancomycin-sensitive to < 2 mg/l , and clinical societies increased the target ranges for plasma levels .
30180012	strains the MIC of VAN	 increases	  increase	to ≥1 mg/l	0.72	However , the bactericidal effect of VAN on MRSA is already reduced for strains against which the MIC of VAN increases to ≥1 mg/l . Therefore , because there is a correlation between the MIC and the risk of treatment failure of VAN , EUCAST and CLSI reduced the MIC above which an MRSA strain is considered vancomycin-sensitive to < 2 mg/l , and clinical societies increased the target ranges for plasma levels .
30180021	ototoxic effects	 limit	  limit	the use of increased VAN dosages for the improvement of treatment efficacy	0.77	However , nephrotoxic and ototoxic effects limit the use of increased VAN dosages for the improvement of treatment efficacy .
30180021	nephrotoxic effects	 limit	  limit	the use of increased VAN dosages for the improvement of treatment efficacy	0.51	However , nephrotoxic and ototoxic effects limit the use of increased VAN dosages for the improvement of treatment efficacy .
30180022	ototoxic effects	 limit	  limit	VAN dose increases to improve therapy	0.75	However , nephro- and ototoxic effects limit VAN dose increases to improve therapy .
30180022	nephro- effects	 limit	  limit	VAN dose increases to improve therapy	0.38	However , nephro- and ototoxic effects limit VAN dose increases to improve therapy .
30180031	Trough level monitoring	 are recommended	  be recommend	for the optimization of VAN exposure	0.59	Trough level monitoring and corresponding dose adjustments are recommended for the optimization of VAN exposure .
30180031	corresponding dose adjustments	 are recommended	  be recommend	for the optimization of VAN exposure	0.59	Trough level monitoring and corresponding dose adjustments are recommended for the optimization of VAN exposure .
30180032	Valley level measurements after therapy initiation , with dose adjustment if necessary	 to optimize	  to optimize	VAN exposure	0.90	Valley level measurements after therapy initiation , with dose adjustment if necessary , are recommended to optimize VAN exposure .
30180032	Valley level measurements after therapy initiation , with dose adjustment necessary	 are recommended	  be recommend	to optimize VAN exposure	0.62	Valley level measurements after therapy initiation , with dose adjustment if necessary , are recommended to optimize VAN exposure .
30180041	the impact of patient characteristics on the attainment of the newly defined target	 ranges	  range	until day 3	0.54	Using the data of 1122 patients from the years 1990 to 2011 , we investigated the impact of dose regimens and patient characteristics on the attainment of the newly defined target ranges until day 3 and later in the course of treatment .
30180041	we	 investigated	  investigate	the impact of patient characteristics on the attainment of the newly defined target ranges until day 3	0.50	Using the data of 1122 patients from the years 1990 to 2011 , we investigated the impact of dose regimens and patient characteristics on the attainment of the newly defined target ranges until day 3 and later in the course of treatment .
30180041	the impact of patient characteristics on the attainment of the newly defined target	 ranges	  range	later in the course of treatment	0.46	Using the data of 1122 patients from the years 1990 to 2011 , we investigated the impact of dose regimens and patient characteristics on the attainment of the newly defined target ranges until day 3 and later in the course of treatment .
30180041	we	 investigated	  investigate	the impact of patient characteristics on the attainment of the newly defined target ranges	0.45	Using the data of 1122 patients from the years 1990 to 2011 , we investigated the impact of dose regimens and patient characteristics on the attainment of the newly defined target ranges until day 3 and later in the course of treatment .
30180041	the impact of dose regimens on the attainment of the newly defined target	 ranges	  range	until day 3	0.43	Using the data of 1122 patients from the years 1990 to 2011 , we investigated the impact of dose regimens and patient characteristics on the attainment of the newly defined target ranges until day 3 and later in the course of treatment .
30180042	we	 retrospectively examined	  retrospectively examine	the influences of patient characteristics on the achievability of newly defined target ranges for VAN valley levels by therapy day 3	0.55	Using data from 1122 patients from 1990 to 2011 , we retrospectively examined the influences of dosing regimens and patient characteristics on the achievability of newly defined target ranges for VAN valley levels by therapy day 3 and later .
30180042	the influences of patient characteristics on the achievability of newly defined target	 ranges	  range	for VAN valley levels by therapy day 3	0.51	Using data from 1122 patients from 1990 to 2011 , we retrospectively examined the influences of dosing regimens and patient characteristics on the achievability of newly defined target ranges for VAN valley levels by therapy day 3 and later .
30180042	we	 retrospectively examined	  retrospectively examine	the influences of dosing regimens on the achievability of newly defined target ranges for VAN valley levels by	0.46	Using data from 1122 patients from 1990 to 2011 , we retrospectively examined the influences of dosing regimens and patient characteristics on the achievability of newly defined target ranges for VAN valley levels by therapy day 3 and later .
30180042	we	 retrospectively examined	  retrospectively examine	the influences of patient characteristics on the achievability of newly defined target ranges for VAN valley levels by therapy day later	0.41	Using data from 1122 patients from 1990 to 2011 , we retrospectively examined the influences of dosing regimens and patient characteristics on the achievability of newly defined target ranges for VAN valley levels by therapy day 3 and later .
30180042	we	 retrospectively examined	  retrospectively examine	the influences of dosing regimens on the achievability of newly defined target ranges for VAN valley levels by therapy day later	0.38	Using data from 1122 patients from 1990 to 2011 , we retrospectively examined the influences of dosing regimens and patient characteristics on the achievability of newly defined target ranges for VAN valley levels by therapy day 3 and later .
30180051	dosages	 recommended	  recommend	by the manufacturers	0.93	With dosages recommended by the manufacturers , the mean trough levels remained clearly below the values recommended by current therapeutic guidelines ( 15–20 mg/L for severe infections ) , particularly in patients without renal impairment .
30180051	the mean trough levels	 remained clearly	  remain clearly	below the values	0.93	With dosages recommended by the manufacturers , the mean trough levels remained clearly below the values recommended by current therapeutic guidelines ( 15–20 mg/L for severe infections ) , particularly in patients without renal impairment .
30180051	the values	 recommended	  recommend	by current therapeutic guidelines	0.91	With dosages recommended by the manufacturers , the mean trough levels remained clearly below the values recommended by current therapeutic guidelines ( 15–20 mg/L for severe infections ) , particularly in patients without renal impairment .
30180052	mean valley levels	 were	  be	significantly below the current guideline recommendation When dosed according to manufacturer 's instructions	0.65	When dosed according to manufacturer 's instructions , mean valley levels were significantly below the current guideline recommendation ( 15-20 mg/l for severe infections ) , particularly in renally healthy patients .
30180061	only a minority of patients	 reached	  reach	plasma levels that meet the guideline recommendations , particularly during the early phase of treatment until day three Even with body-weight adjusted dosages	0.98	Even with body-weight adjusted dosages , only a minority of patients reached plasma levels that meet the guideline recommendations , particularly during the early phase of treatment until day three .
30180061	plasma levels	 meet	  meet	the guideline recommendations , particularly during the early phase of treatment until day three	0.97	Even with body-weight adjusted dosages , only a minority of patients reached plasma levels that meet the guideline recommendations , particularly during the early phase of treatment until day three .
30180062	only a minority of patients	 achieved	  achieve	valley levels Even with body-weight-based dosing in line with recommendations , especially by therapy day 3	0.54	Even with body-weight-based dosing , only a minority of patients achieved valley levels in line with recommendations , especially by therapy day 3 .
30180071	A moderate correlation	 was observed	  be observe	between VAN trough levels and body weight-adjusted dosage	1.00	A moderate correlation was observed between VAN trough levels and body weight-adjusted dosage .
30180072	a moderate correlation	 of	  of	valley level with body-weight-based dosing	0.53	There was a moderate correlation of valley level with body-weight-based dosing .
30180081	The intraindividual variability of renal function	 confounds	  confound	the predictability of VAN exposure	0.97	The intraindividual variability of renal function which is commonly observed in intensive care patients further confounds the predictability of VAN exposure .
30180081	renal function	 is commonly observed	  be commonly observe	in intensive care patients	0.96	The intraindividual variability of renal function which is commonly observed in intensive care patients further confounds the predictability of VAN exposure .
30180082	more frequent fluctuations in renal function	 have	  have	unpredictable effects on VAN exposure In ICU patients	1.00	In ICU patients , more frequent fluctuations in renal function have unpredictable effects on VAN exposure .
30180091	VAN dosages beyond the manufacturer recommendation	 are required	  be require	to reach the target trough levels In most cases	0.96	In most cases , VAN dosages beyond the manufacturer recommendation are required to reach the target trough levels specified by the guidelines ( 10–20 mg/L ) .
30180091	the target trough levels	 specified	  specify	by the guidelines	0.93	In most cases , VAN dosages beyond the manufacturer recommendation are required to reach the target trough levels specified by the guidelines ( 10–20 mg/L ) .
30180091	VAN dosages beyond the manufacturer recommendation	 to reach	  to reach	the target trough levels specified by the guidelines	0.91	In most cases , VAN dosages beyond the manufacturer recommendation are required to reach the target trough levels specified by the guidelines ( 10–20 mg/L ) .
30180092	VAN doses above the manufacturer 's recommendation	 are needed	  be need	In most cases to achieve the current valley level target of 10 to	0.32	In most cases , VAN doses above the manufacturer 's recommendation are needed to achieve the current valley level target ranges of 10 to 20 mg/l . The results argue for early , repeated valley level measurements even in renally healthy patients .
30180092	mg/l The results	 ranges	  range		0.06	In most cases , VAN doses above the manufacturer 's recommendation are needed to achieve the current valley level target ranges of 10 to 20 mg/l . The results argue for early , repeated valley level measurements even in renally healthy patients .
30180092	VAN doses above the manufacturer 's recommendation	 are needed achieve	  be need achieve	to the current valley level target of to results In most cases	0.04	In most cases , VAN doses above the manufacturer 's recommendation are needed to achieve the current valley level target ranges of 10 to 20 mg/l . The results argue for early , repeated valley level measurements even in renally healthy patients .
30180092	doses above current valley level . The results	 ranges argue	  range argue	10 to 20 mg/l for early , repeated valley level measurements even in renally healthy patients	0.04	In most cases , VAN doses above the manufacturer 's recommendation are needed to achieve the current valley level target ranges of 10 to 20 mg/l . The results argue for early , repeated valley level measurements even in renally healthy patients .
30180101	These results	 strongly support	  strongly support	repeated VAN trough level measurements even in patients with normal renal function	0.58	These results strongly support early and repeated VAN trough level measurements even in patients with normal renal function .
30180101	early VAN	 trough	  trough	level measurements even in patients with normal renal function	0.53	These results strongly support early and repeated VAN trough level measurements even in patients with normal renal function .
30180101	These results	 strongly support	  strongly support	early VAN trough level measurements in patients with normal function even renal	0.02	These results strongly support early and repeated VAN trough level measurements even in patients with normal renal function .
30180102	The low exposure in the critical early phase	 suggest	  suggest	the use of other MRSA-active drugs , at least in critically ill patients with infections of deep tissue areas and in nonsusceptible pathogens	0.61	The low exposure in the critical early phase and the limited correlation of dosage and exposure suggest the use of other MRSA-active drugs , at least in critically ill patients with infections of organs or deep tissue areas and in nonsusceptible pathogens ( MIC of VAN ≥2 mg/l ) .
30180102	The low exposure in the critical early phase	 suggest	  suggest	the use of other MRSA-active drugs , at least in critically ill patients with infections of organs and in nonsusceptible pathogens	0.59	The low exposure in the critical early phase and the limited correlation of dosage and exposure suggest the use of other MRSA-active drugs , at least in critically ill patients with infections of organs or deep tissue areas and in nonsusceptible pathogens ( MIC of VAN ≥2 mg/l ) .
30180102	the limited correlation of dosage	 suggest	  suggest	the use of other MRSA-active drugs , at least in critically ill patients with infections of deep tissue areas and in nonsusceptible pathogens	0.42	The low exposure in the critical early phase and the limited correlation of dosage and exposure suggest the use of other MRSA-active drugs , at least in critically ill patients with infections of organs or deep tissue areas and in nonsusceptible pathogens ( MIC of VAN ≥2 mg/l ) .
30180102	the limited correlation of exposure	 suggest	  suggest	the use of other MRSA-active drugs , at least in critically ill patients with infections of deep tissue areas and in nonsusceptible pathogens	0.42	The low exposure in the critical early phase and the limited correlation of dosage and exposure suggest the use of other MRSA-active drugs , at least in critically ill patients with infections of organs or deep tissue areas and in nonsusceptible pathogens ( MIC of VAN ≥2 mg/l ) .
30180102	the limited correlation of dosage	 suggest	  suggest	the use of other MRSA-active drugs , at least in critically ill patients with infections of organs and in nonsusceptible pathogens	0.39	The low exposure in the critical early phase and the limited correlation of dosage and exposure suggest the use of other MRSA-active drugs , at least in critically ill patients with infections of organs or deep tissue areas and in nonsusceptible pathogens ( MIC of VAN ≥2 mg/l ) .
30180111	the generally low exposure	 observed	  observe	in the critical early phase	0.89	Moreover , the generally low exposure observed in the critical early phase and the limited correlation of dosage and exposure suggest the use of other antibiotics active against MRSA at least in severely ill patients with infections of organs or deep tissues , or if insensitive bacterial strains are involved ( VAN MIC ≥ 2 mg/L ) .
30180111	VAN MIC	 ≥	  ≥	2 mg/L	0.85	Moreover , the generally low exposure observed in the critical early phase and the limited correlation of dosage and exposure suggest the use of other antibiotics active against MRSA at least in severely ill patients with infections of organs or deep tissues , or if insensitive bacterial strains are involved ( VAN MIC ≥ 2 mg/L ) .
30180111	the generally low exposure observed in the critical early phase	 suggest	  suggest	the use of other antibiotics active against MRSA	0.79	Moreover , the generally low exposure observed in the critical early phase and the limited correlation of dosage and exposure suggest the use of other antibiotics active against MRSA at least in severely ill patients with infections of organs or deep tissues , or if insensitive bacterial strains are involved ( VAN MIC ≥ 2 mg/L ) .
30180111	the generally low exposure	 observed	  observe	in the critical early phase	0.89	Moreover , the generally low exposure observed in the critical early phase and the limited correlation of dosage and exposure suggest the use of other antibiotics active against MRSA at least in severely ill patients with infections of organs or deep tissues , or if insensitive bacterial strains are involved ( VAN MIC ≥ 2 mg/L ) .
30180111	VAN MIC	 ≥	  ≥	2 mg/L	0.85	Moreover , the generally low exposure observed in the critical early phase and the limited correlation of dosage and exposure suggest the use of other antibiotics active against MRSA at least in severely ill patients with infections of organs or deep tissues , or if insensitive bacterial strains are involved ( VAN MIC ≥ 2 mg/L ) .
30180111	the generally low exposure observed in the critical early phase	 suggest	  suggest	the use of other antibiotics active against MRSA at least in severely ill patients with infections of organs	0.64	Moreover , the generally low exposure observed in the critical early phase and the limited correlation of dosage and exposure suggest the use of other antibiotics active against MRSA at least in severely ill patients with infections of organs or deep tissues , or if insensitive bacterial strains are involved ( VAN MIC ≥ 2 mg/L ) .
30180111	the generally low exposure observed in the critical early phase	 suggest	  suggest	the use of other antibiotics active against MRSA at least in severely ill patients with infections of deep tissues	0.60	Moreover , the generally low exposure observed in the critical early phase and the limited correlation of dosage and exposure suggest the use of other antibiotics active against MRSA at least in severely ill patients with infections of organs or deep tissues , or if insensitive bacterial strains are involved ( VAN MIC ≥ 2 mg/L ) .
30180111	the limited correlation of exposure	 suggest	  suggest	the use of other antibiotics active against MRSA at least in severely ill patients with infections of organs	0.38	Moreover , the generally low exposure observed in the critical early phase and the limited correlation of dosage and exposure suggest the use of other antibiotics active against MRSA at least in severely ill patients with infections of organs or deep tissues , or if insensitive bacterial strains are involved ( VAN MIC ≥ 2 mg/L ) .
30180112	the occurrence of toxicity	 have not been studied	  have not be study		0.54	However , the clinical and microbiological response and the occurrence of toxicity have not been studied .
30180112	the microbiological response	 have not been studied	  have not be study		0.15	However , the clinical and microbiological response and the occurrence of toxicity have not been studied .
30180112	the clinical response	 have not been studied	  have not be study		0.06	However , the clinical and microbiological response and the occurrence of toxicity have not been studied .
