document id	subject	predicate	predicate lemmatized	object	confidence	sentence
20070051	effective-ness	 is	  be	partly dependent on their home language situation	0.11	Furthermore , the study shows that effective-ness is partly dependent on the adult-child ratio and , for children from immigrant minority families , on their home language situation . '' (
20070051	the study	 shows	  show	that effective-ness is partly dependent for children from immigrant minority families	0.10	Furthermore , the study shows that effective-ness is partly dependent on the adult-child ratio and , for children from immigrant minority families , on their home language situation . '' (
20070052	the effectiveness of the centers	 was found	  be find		0.96	In addition , the effectiveness of the centers was found to depend in part on the adult-child ratio in the center and , for immigrant children , on the provision of Dutch language at home . '' (
20070052	the effectiveness of the centers	 to depend	  to depend	in part on the adult-child ratio in the center	0.95	In addition , the effectiveness of the centers was found to depend in part on the adult-child ratio in the center and , for immigrant children , on the provision of Dutch language at home . '' (
20080001	Think tanks	 are	  be	institutions that create knowledge	0.92	Think tanks are institutions that create knowledge which influence public opinion and policy making processes .
20080001	institutions	 create	  create	knowledge which influence policy making processes	0.33	Think tanks are institutions that create knowledge which influence public opinion and policy making processes .
20080001	knowledge	 influence	  influence	policy making processes	0.33	Think tanks are institutions that create knowledge which influence public opinion and policy making processes .
20080001	institutions	 create	  create	knowledge which influence public opinion	0.30	Think tanks are institutions that create knowledge which influence public opinion and policy making processes .
20080001	knowledge	 influence	  influence	public opinion	0.30	Think tanks are institutions that create knowledge which influence public opinion and policy making processes .
20080002	institutions	 create	  create	orientation knowledge	0.89	Think tanks are institutions that create orientation knowledge and introduce it into the political opinion- and will-forming process .
20080002	Think tanks	 are	  be	institutions that create orientation knowledge	0.85	Think tanks are institutions that create orientation knowledge and introduce it into the political opinion- and will-forming process .
20080002	institutions	 introduce	  introduce	it into the political opinion- process	0.45	Think tanks are institutions that create orientation knowledge and introduce it into the political opinion- and will-forming process .
20080002	Think tanks	 are	  be	institutions that introduce it into the political opinion- process	0.38	Think tanks are institutions that create orientation knowledge and introduce it into the political opinion- and will-forming process .
20080002	institutions	 introduce	  introduce	it into the political will-forming process	0.03	Think tanks are institutions that create orientation knowledge and introduce it into the political opinion- and will-forming process .
20080011	neoliberalism	 can look	  can look	back on a long tradition in this respect	1.00	In fact , neoliberalism can look back on a long tradition in this respect .
20080012	Neoliberal awareness work	 can look	  can look	back on a long tradition	1.00	Neoliberal awareness work can look back on a long tradition .
20080021	the Mont Pelerin Society	 founded	  found	by the Austrian economist Friedrich v. Hayek in 1947	0.71	Beginning with the Mont Pelerin Society , founded by the Austrian economist and philosopher Friedrich v. Hayek in 1947 , there arised first in England , then in other countries numerous institutions whose intention were to oppose the Keynesean after-war-consensus .
20080021	the Mont Pelerin Society	 founded	  found	by the Austrian philosopher Friedrich v. Hayek in 1947	0.53	Beginning with the Mont Pelerin Society , founded by the Austrian economist and philosopher Friedrich v. Hayek in 1947 , there arised first in England , then in other countries numerous institutions whose intention were to oppose the Keynesean after-war-consensus .
20080021	other countries numerous institutions whose	 were	  be	to oppose the Keynesean after-war-consensus	0.33	Beginning with the Mont Pelerin Society , founded by the Austrian economist and philosopher Friedrich v. Hayek in 1947 , there arised first in England , then in other countries numerous institutions whose intention were to oppose the Keynesean after-war-consensus .
20080022	the Mont Pelerin Society	 founded	  found	by Friedrich v. Hayek in 1947	0.96	Starting with the Mont Pelerin Society ( MPS ) , founded by Friedrich v. Hayek in 1947 , numerous institutions were formed , first in England and then in other countries , to counter the postwar Keynesianist consensus .
20080022	numerous institutions	 were formed then	  be form then	to counter the postwar Keynesianist consensus Starting with the Mont Pelerin Society in other countries	0.28	Starting with the Mont Pelerin Society ( MPS ) , founded by Friedrich v. Hayek in 1947 , numerous institutions were formed , first in England and then in other countries , to counter the postwar Keynesianist consensus .
20080022	numerous institutions	 to counter	  to counter	Keynesianist	0.22	Starting with the Mont Pelerin Society ( MPS ) , founded by Friedrich v. Hayek in 1947 , numerous institutions were formed , first in England and then in other countries , to counter the postwar Keynesianist consensus .
20080022	numerous institutions	 were formed first	  be form 1	Starting with in England to counter the postwar Keynesianist consensus the Mont Pelerin Society	0.15	Starting with the Mont Pelerin Society ( MPS ) , founded by Friedrich v. Hayek in 1947 , numerous institutions were formed , first in England and then in other countries , to counter the postwar Keynesianist consensus .
20080031	Western democracies 'unrestricted democracies	 would be	  would be	inconsistent with a liberal order	0.92	Hayek called Western democracies 'unrestricted democracies ' that would be inconsistent with a liberal order .
20080031	Hayek	 called	  call	Western democracies 'unrestricted democracies	0.91	Hayek called Western democracies 'unrestricted democracies ' that would be inconsistent with a liberal order .
20080032	Hayek	 called	  call	the Western democracies 'unrestricted democracies	0.90	Hayek called the Western democracies 'unrestricted democracies ' that were incompatible with a liberal social and market order .
20080032	the Western democracies 'unrestricted democracies	 were	  be	incompatible with a liberal market order	0.42	Hayek called the Western democracies 'unrestricted democracies ' that were incompatible with a liberal social and market order .
20080032	the Western democracies 'unrestricted democracies	 were	  be	incompatible with a liberal social order	0.41	Hayek called the Western democracies 'unrestricted democracies ' that were incompatible with a liberal social and market order .
20080041	his famous book	 published	  publish	in 1944	0.92	In his view they would finally lead to 'The Road to Serfdom ' , that is the title of his famous book published in 1944 .
20080041	they	 would lead	  would lead	to 'The Road to Serfdom finally	0.77	In his view they would finally lead to 'The Road to Serfdom ' , that is the title of his famous book published in 1944 .
20080041	Road to Serfdom that	 is	  be	the title of his famous book	0.30	In his view they would finally lead to 'The Road to Serfdom ' , that is the title of his famous book published in 1944 .
20080042	They	 would lead	  would lead	to the 'road of servitude	0.97	They would lead to the 'road of servitude , ' according to the title of his book published in 1944 .
20080042	his book	 published	  publish	in 1944	0.94	They would lead to the 'road of servitude , ' according to the title of his book published in 1944 .
20080051	The Viennese Hayek Institute	 wants	  want	to support the worldwide renaissance of the Austrian School of Economics	0.97	The Viennese Hayek Institute wants to support the worldwide renaissance of the Austrian School of Economics and tries to make its ideas useful for public affairs activities .
20080051	The Viennese Hayek Institute	 wants to support	  want to support	the worldwide renaissance of the Austrian School of Economics	0.95	The Viennese Hayek Institute wants to support the worldwide renaissance of the Austrian School of Economics and tries to make its ideas useful for public affairs activities .
20080051	The Viennese Hayek Institute	 tries	  try	to make its ideas useful for public affairs activities	0.94	The Viennese Hayek Institute wants to support the worldwide renaissance of the Austrian School of Economics and tries to make its ideas useful for public affairs activities .
20080051	The Viennese Hayek Institute	 tries to make	  try to make	its ideas useful for public affairs activities	0.87	The Viennese Hayek Institute wants to support the worldwide renaissance of the Austrian School of Economics and tries to make its ideas useful for public affairs activities .
20080052	The Vienna Hayek Institute	 has set	  have set	itself the task of supporting the worldwide renaissance of the Austrian School of National Economics	0.88	The Vienna Hayek Institute has set itself the task of supporting the worldwide renaissance of the Austrian School of National Economics and actively disseminating its ideas , especially those of its namesake , and preparing them for domestic decision-makers .
20080052	The Vienna Hayek Institute	 has set	  have set	itself the task of actively disseminating its ideas	0.59	The Vienna Hayek Institute has set itself the task of supporting the worldwide renaissance of the Austrian School of National Economics and actively disseminating its ideas , especially those of its namesake , and preparing them for domestic decision-makers .
20080052	The Vienna Hayek Institute	 has set	  have set	itself the task of preparing them for domestic decision-makers	0.44	The Vienna Hayek Institute has set itself the task of supporting the worldwide renaissance of the Austrian School of National Economics and actively disseminating its ideas , especially those of its namesake , and preparing them for domestic decision-makers .
20080061	it	 deals	  deal	with the activities of the Hayek Institute then	0.88	Starting with giving an overview of the basic ideas of Hayek the article first outlines the neoliberal think tank scene on a broad scale , also in a historical perspective , and tries to evaluate the significance of the Austrian School within this network ; then it deals with the activities of the Hayek Institute and analyzes the connections with both national economic and political elites and a transnational neoliberal community .
20080061	the article	 tries	  try	to evaluate the significance of the Austrian School within this network	0.88	Starting with giving an overview of the basic ideas of Hayek the article first outlines the neoliberal think tank scene on a broad scale , also in a historical perspective , and tries to evaluate the significance of the Austrian School within this network ; then it deals with the activities of the Hayek Institute and analyzes the connections with both national economic and political elites and a transnational neoliberal community .
20080061	the article	 outlines	  outline	the neoliberal think tank scene on a broad scale , also in a historical perspective first	0.85	Starting with giving an overview of the basic ideas of Hayek the article first outlines the neoliberal think tank scene on a broad scale , also in a historical perspective , and tries to evaluate the significance of the Austrian School within this network ; then it deals with the activities of the Hayek Institute and analyzes the connections with both national economic and political elites and a transnational neoliberal community .
