"ent_str","ent_id","ent_type","count"
"Earth","Earth","LOC",32
"25","25","CARDINAL",32
"2015","2015","DATE",31
"recent decades","recent decades","DATE",31
"Atlantic","Atlantic","LOC",31
"Middle East","Middle East","LOC",31
"Protestant","Protestant","NORP",31
"Portugal","Portugal","GPE",31
"Nordic","Nordic","NORP",31
"Syrian","Syrian","NORP",31
"Cambodia","Cambodia","GPE",31
"Atlanta","Atlanta","GPE",31
"Palestine","Palestine","GPE",31
"East Asia","East Asia","LOC",31
"Sudan","Sudan","GPE",31
"Obama","Obama","PERSON",31
"Iranian","Iranian","NORP",31
"2016","2016","DATE",30
"Korean","Korean","NORP",30
"the twenty-first century","the twenty-first century","DATE",30
"North Korean","North Korean","NORP",30
"Marxist","Marxist","NORP",30
"Cuban","Cuban","NORP",30
"Labour","Labour","ORG",30
"Croatia","Croatia","GPE",30
"J. W. Parker","J. W. Parker","PERSON",30
"Swiss","Swiss","NORP",30
"50","50","CARDINAL",30
"Lithuania","Lithuania","GPE",30
"the twentieth century","the twentieth century","DATE",30
"1988","1988","DATE",29
"1986","1986","DATE",29
"1985","1985","DATE",29
"100","100","CARDINAL",29
"Somalia","Somalia","GPE",29
"Mediterranean","Mediterranean","LOC",29
"half","half","CARDINAL",29
"Habermas","Habermas","PERSON",29
"Libya","Libya","GPE",29
"Zimbabwe","Zimbabwe","GPE",28
"Bayesian","Bayesian","NORP",28
"the years","the years","DATE",28
"Great Britain","Great Britain","GPE",28
"the nineteenth century","the nineteenth century","DATE",28
"Rwanda","Rwanda","GPE",28
"Georgia","Georgia","GPE",28
"thousands","thousands","CARDINAL",28
"Sri Lanka","Sri Lanka","GPE",28
"Government","Government","ORG",28
"the 21st century","the 21st century","DATE",27
"the early 1990s","the early 1990s","DATE",27
"Aboriginal","Aboriginal","NORP",27
"Texas","Texas","GPE",27
"1979","1979","DATE",27
"1968","1968","DATE",27
"Ethiopia","Ethiopia","GPE",27
"ten","ten","CARDINAL",27
"0.05","0.05","CARDINAL",27
"the last decade","the last decade","DATE",27
"Stalin","Stalin","PERSON",27
"States","States","GPE",27
"Bolivia","Bolivia","GPE",27
"28","28","CARDINAL",27
"Americas","Americas","LOC",27
"26","26","CARDINAL",27
"Kurdish","Kurdish","NORP",26
"the World Bank","the World Bank","ORG",26
"monthly","monthly","DATE",26
"Czech","Czech","NORP",26
"Taylor","Taylor","PERSON",26
"Trump","Trump","PERSON",26
"Jordan","Jordan","GPE",26
"Arabs","Arabs","NORP",26
"Bosnia","Bosnia","GPE",26
"Finnish","Finnish","NORP",25
"Belgian","Belgian","NORP",25
"1987","1987","DATE",25
"Hindu","Hindu","NORP",25
"Peru","Peru","GPE",25
"Tibet","Tibet","GPE",25
"the past decade","the past decade","DATE",25
"Nazi","Nazi","NORP",25
"Constitution","Constitution","LAW",25
"31","31","CARDINAL",25
"Mongolian","Mongolian","NORP",24
"Western European","Western European","NORP",24
"Quebec","Quebec","GPE",24
"9/11","9/11","CARDINAL",24
"Estonia","Estonia","GPE",24
"1980s","1980s","DATE",24
"South Korea","South Korea","GPE",24
"Cyprus","Cyprus","GPE",24
"Nicaragua","Nicaragua","GPE",24
"Council","Council","ORG",24
"Ninety","Ninety","CARDINAL",24
"48","48","CARDINAL",24
"PCI","PCI","ORG",24
"the last two decades","the last two decades","DATE",24
"CIR","CIR","ORG",24
"Florida","Florida","GPE",23
"ADL","ADL","ORG",23
"1983","1983","DATE",23
"EPA","EPA","ORG",23
"PRC","PRC","GPE",23
"Scotland","Scotland","GPE",23
"Latvia","Latvia","GPE",23
"Serbia","Serbia","GPE",23
"33","33","CARDINAL",23
"34","34","CARDINAL",23
"East Asian","East Asian","NORP",23
"Germans","Germans","NORP",23
"East","East","LOC",23
"EC","EC","ORG",23
"Central Asia","Central Asia","LOC",22
"Balkans","Balkans","LOC",22
"Northern Ireland","Northern Ireland","GPE",22
"Austrian","Austrian","NORP",22
"The United States","The United States","GPE",22
"1965","1965","DATE",22
"Ottoman","Ottoman","NORP",22
"CA","CA","GPE",22
"J. Zendejas","J. Zendejas","PERSON",22
"Latinos","Latinos","NORP",22
"Taiwanese","Taiwanese","NORP",22
"Ukrainian","Ukrainian","NORP",22
"Clinton","Clinton","PERSON",22
"Iraqi","Iraqi","NORP",22
"the 20th century","the 20th century","DATE",21
"the 1950s","the 1950s","DATE",21
"Kerala","Kerala","GPE",21
"AA","AA","ORG",21
"North","North","LOC",21
"Catholic","Catholic","NORP",21
"North Africa","North Africa","LOC",21
"1973","1973","DATE",21
"Malay","Malay","NORP",21
"EMU","EMU","ORG",21
"Greek","Greek","NORP",21
"the Supreme Court","the Supreme Court","ORG",21
"Paris","Paris","GPE",21
"the General Assembly","the General Assembly","ORG",21
"35","35","CARDINAL",21
"29","29","CARDINAL",21
"the Committee on Foreign Affairs","the Committee on Foreign Affairs","ORG",20
"republican","republican","NORP",20
"South Carolina","South Carolina","GPE",20
"Norwegian","Norwegian","NORP",20
"Labor","Labor","ORG",20
"Zambia","Zambia","GPE",20
"African American","African American","NORP",20
"Republicans","Republicans","NORP",20
"North American","North American","NORP",20
"1977","1977","DATE",20
"Indigenous","Indigenous","NORP",20
"Putin","Putin","PERSON",20
"Hispanic","Hispanic","NORP",20
"1962","1962","DATE",20
"1960s","1960s","DATE",20
"Hamas","Hamas","ORG",20
"Philippine","Philippine","NORP",20
"the Second World War","the Second World War","EVENT",20
"Conservative","Conservative","NORP",20
"Union","Union","ORG",20
"38","38","CARDINAL",20
"Colorado","Colorado","GPE",20
"Barcelona","Barcelona","GPE",19
"0.001","0.001","CARDINAL",19
"K. Hyatt Stewart","K. Hyatt Stewart","PERSON",19
"Caribbean","Caribbean","LOC",19
"CSR","CSR","ORG",19
"1949","1949","DATE",19
"Guatemala","Guatemala","GPE",19
"communist","communist","NORP",19
"Angola","Angola","GPE",19
"32","32","CARDINAL",19
"Third World","Third World","LOC",19
"Morocco","Morocco","GPE",19
"Mozambique","Mozambique","GPE",19
"IC","IC","ORG",18
"D. Edelman","D. Edelman","PERSON",18
"1990s","1990s","DATE",18
"West Germany","West Germany","GPE",18
"Tunisia","Tunisia","GPE",18
"1978","1978","DATE",18
"1974","1974","DATE",18
"1970","1970","DATE",18
"many years","many years","DATE",18
"1967","1967","DATE",18
"1948","1948","DATE",18
"El Salvador","El Salvador","GPE",18
"Cambridge","Cambridge","GPE",18
"Serbian","Serbian","NORP",18
"New York City","New York City","GPE",18
"Copyright Elsevier Ltd","Copyright Elsevier Ltd","ORG",18
"Argentine","Argentine","NORP",18
"Eastern European","Eastern European","NORP",18
"GM","GM","ORG",18
"27","27","CARDINAL",18
"Anglo","Anglo","NORP",18
"EP","EP","ORG",18
"International Relations","International Relations","ORG",18
"Register","Register","ORG",17
"the University of California","the University of California","ORG",17
"Chilean","Chilean","NORP",17
"Albania","Albania","GPE",17
"Five","Five","CARDINAL",17
"Indians","Indians","NORP",17
"the Czech Republic","the Czech Republic","GPE",17
"Facebook","Facebook","ORG",17
"Belarus","Belarus","GPE",17
"Wood","Wood","PERSON",17
"Carter","Carter","PERSON",17
"Rawls","Rawls","PERSON",17
"1960","1960","DATE",17
"Elsevier Ltd","Elsevier Ltd","ORG",17
"Seven","Seven","CARDINAL",17
"at least one","at least one","CARDINAL",17
"Hayek","Hayek","PERSON",17
"Peer","Peer","PERSON",17
"Bundestag","Bundestag","ORG",17
"Haiti","Haiti","GPE",17
"58","58","CARDINAL",17
"Plato","Plato","PERSON",17
"Navy","Navy","ORG",17
"the People's Republic of China","the People's Republic of China","GPE",17
"East European","East European","NORP",17
"Russians","Russians","NORP",17
"Sub-Saharan Africa","Sub-Saharan Africa","GPE",17
"the late 1990s","the late 1990s","DATE",17
"Namibia","Namibia","GPE",17
"Ford","Ford","ORG",16
"Foucault","Foucault","PERSON",16
"the 1930s","the 1930s","DATE",16
"Central Europe","Central Europe","LOC",16
"Africans","Africans","NORP",16
"African Americans","African Americans","NORP",16
"twentieth-century","twentieth-century","DATE",16
