"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"cya","CHEMBL160","Drug",NULL,"treatment","treats","inflammation","MESH:D007249","Disease","Thirteen of fourteen eyes in the anterior ocular inflammation group subsided at three months after CyA treatment, and ten of thirteen eyes in the posterior ocular inflammation group subsided at three months after treatment."
"mxf","CHEMBL32","Drug",NULL,"treat","treats","respiratory tract infection","MESH:D012141","Disease","Design: Patients with a diagnosis of respiratory tract infection should be treated with MXF IV and/or tablets 400 mg once daily for a duration at the physician's discretion."
"nitroglycerin","CHEMBL730","Drug",NULL,"use","treats","myocardial infarction","MESH:D009203","Disease","When reperfusion therapy is combined with the use of aspirin, beta-blockade, heparin, and nitroglycerin, the emergency management of the patient with myocardial infarction can be completed."
"furosemide","CHEMBL1788133","Drug",NULL,"treatment","treats","myoclonic jerks","MESH:D009207","Disease","Treatment with intravenous normal saline and furosemide resulted in gradual improvement in her drowsiness and myoclonic jerks."
"letrozole","CHEMBL1444","Drug",NULL,"use","treats","cancer","MESH:D009369","Disease","PURPOSE: Aromatase inhibitors (anastrozole, letrozole) and selective estrogen receptor modulators (tamoxifen) are widely used as adjuvant hormonal therapy in women with hormone receptor-positive breast cancer."
"ornithine","CHEMBL446143","Drug",NULL,"apply","treats","breast tumor","MESH:D001943","Disease","We have applied quantitative autoradiography to in situ hybridizations of sections from human breast tumor xenografts to measure mRNA levels for ornithine decarboxylase, estrogen receptor, transforming growth factor alpha, and glyceraldehyde-3-phosphate dehydrogenase."
"sorafenib","CHEMBL1336","Drug",NULL,"treatment","treats","carcinoma","MESH:D002277","Disease","Sorafenib is a multikinase inhibitor that blocks tumor cell proliferation and angiogenesis and is used for the treatment of advanced renal cell carcinoma, unresectable hepatocellular carcinoma, and other solid tumors."
"sulfamate","CHEMBL68253","Drug",NULL,"radiotherapy","treats","breast cancer","MESH:D001943","Disease","MSBA-S - A pentacyclic sulfamate as a new option for radiotherapy of human breast cancer cells."
"salinomycin","CHEMBL1208572","Drug",NULL,"treatment","treats","cancer","MESH:D009369","Disease","Studies on ovarian cancer stem cells (CSCs) and attempts at treatment using salinomycin, isolated from Streptonzyces albus and endotoxin of Clostridium peifringens, are promising, in particular because CSC markers have been identified."
"insulin","CHEMBL1201631","Drug",NULL,"therapy","treats","diabetes","MESH:D003920","Disease","In the multivariate analysis, a significant effect of the interaction between diabetes duration, insulin therapy, and the presence of DR was found for both, ADDQoL and DTSQ."
"a new prostaglandin e1 analogue","CHEMBL3301679","Drug",NULL,"treatment","treats","recurrence","MESH:D012008","Disease","Rioprostil, a new prostaglandin E1 analogue, in the once-daily treatment for the prevention of duodenal ulcer recurrence: a comparison with ranitidine."
"rituximab","CHEMBL1201576","Drug",NULL,"treatment","treats","lymphoma","MESH:D008223","Disease","Randomised phase III study of R-ICE versus R-DHAP in relapsed patients with CD20 diffuse large B-cell lymphoma (DLBCL) followed by high-dose therapy and a second randomisation to maintenance treatment with rituximab or not: an update of the CORAL study."
"cidofovir","CHEMBL152","Drug",NULL,"treatment","treats","virus infections","MESH:D015658","Disease","Role of cidofovir in the treatment of DNA virus infections, other than CMV infections, in immunocompromised patients."
"estrogen","CHEMBL592868","Drug",NULL,"use","treats","breast cancer","MESH:D001943","Disease","PURPOSE: Aromatase inhibitors (anastrozole, letrozole) and selective estrogen receptor modulators (tamoxifen) are widely used as adjuvant hormonal therapy in women with hormone receptor-positive breast cancer."
"oxaliplatin","CHEMBL414804","Drug",NULL,"treatment","treats","gastric cancer","MESH:D013274","Disease","PURPOSE: This study is a retrospective analysis evaluating the efficacy and toxicity of combination chemotherapy with Paclitaxel (PTX) and Oxaliplatin (OXA) as first-line treatment for patients with advanced gastric cancer (AGC)."
"cocaine","CHEMBL370805","Drug",NULL,"use","treats","interstitial nephritis","MESH:D009395","Disease","Cocaine use is, also, associated with renal complications such as acute kidney injury, vasculitis, acute interstitial nephritis, chronic kidney disease, malignant hypertension with thrombotic microangiopathy."
"cyclophosphamide","CHEMBL88","Drug",NULL,"use","treats","AML","MESH:D015470","Disease","We evaluated the role of ABMT in late 1st CR AML adult patients using busulfan plus cyclophosphamide as preparative regimen."
"natalizumab","CHEMBL1201607","Drug",NULL,"treatment","treats","sclerosis","MESH:D012598","Disease","Abstract Introduction Natalizumab (NTZ) is an effective drug for the treatment of relapsing-remitting multiple sclerosis."
"cariporide","CHEMBL436559","Drug",NULL,"ameliorate","treats","injury","MESH:D014947","Disease","BACKGROUND AND PURPOSE: The Na(+)/H(+) exchange (NHE) inhibitor cariporide is known to ameliorate ischaemia/reperfusion (I/R) injury by reduction of cytosolic Ca(2+) overload."
"fluvastatin","CHEMBL1078","Drug",NULL,"alleviate","treats","injury","MESH:D014947","Disease","In summary, fluvastatin alleviated podocyte and tubulointerstitial injury in PAN nephrosis."
"mdv3100","CHEMBL1082407","Drug",NULL,"treatment","treats","prostate cancer","MESH:D011471","Disease","Methylselenol prodrug enhances MDV3100 efficacy for treatment of castration-resistant prostate cancer."
"valproic acid","CHEMBL109","Drug",NULL,"therapy","treats","epilepsy","MESH:D004827","Disease","[Visual evoked potentials in photosensitive epilepsy--effect of valproic acid therapy]."
"formoterol","CHEMBL1256786","Drug",NULL,"treatment","treats","obstructive airways disease","MESH:D000402","Disease","The aim of this randomized, open, parallel group study was to compare the clinical efficacy of formoterol dry powder capsule 12 micrograms b.i.d. and salmeterol dry powder 50 micrograms b.i.d. in the treatment of patients with reversible obstructive airways disease."
"crizotinib","CHEMBL601719","Drug",NULL,"treatment","treats","cancer","MESH:D009369","Disease","Based on the approvals of crizotinib and entrectinib by the Food and Drug Administration for the treatment of ROS1 positive non-small lung cancer (NSCLC), we sought to examine the mutational profile of a variety of solid tumors (excluding sarcomas) with ROS1 fusions that underwent comprehensive genomic profiling."
"adriamycin","CHEMBL53463","Drug",NULL,"chemotherapy","treats","lung cancer","MESH:D008175","Disease","Promising effects of 3rd line cyclophosphamide, adriamycin and vincristine (CAV) and 4th line ifosfamide and carboplatin chemotherapy in refractory small cell lung cancer."
"cyclophosphamide","CHEMBL88","Drug",NULL,"treatment","treats","multiple myeloma","MESH:D009101","Disease","Weekly cyclophosphamide, subcutaneous bortezomib and dexamethathasone (CyBorD) for initial treatment of transplant-eligible patients with multiple myeloma: experience of two transplant centres."
"luteolin","CHEMBL151","Drug",NULL,"use","treats","cancer","MESH:D009369","Disease","Commercially available medicinal plants and their preparations containing luteolin are often used in the treatment of hypertension, inflammatory diseases, and even cancer."
"olaratumab","CHEMBL1743049","Drug",NULL,"use","treats","cancer","MESH:D009369","Disease","In August 2017, the NICE Appraisal Committee recommended olaratumab in combination with doxorubicin for this indication for use via the UK Cancer Drugs Fund under the agreed CAA until further evidence being collected in the ongoing phase III trial-ANNOUNCE-becomes available in December 2020."
"ticlopidine","CHEMBL833","Drug",NULL,"therapy","treats","hyperplasia","MESH:D006965","Disease","Antiplatelet therapy with clopidogrel or ticlopidine reduces intimal hyperplasia in an animal model of experimental arterial injury."
"methotrexate","CHEMBL34259","Drug",NULL,"use","treats","cancer","MESH:D009369","Disease","Methotrexate (MTX) is a chemotherapeutic agent and an immunosuppressant used to treat cancer and autoimmune diseases."
"pyrimethamine","CHEMBL36","Drug",NULL,"treatment","treats","Cerebral Toxoplasmosis","MESH:D016781","Disease","Successful Treatment of Cerebral Toxoplasmosis Using Pyrimethamine Oral Solution Compounded From Inexpensive Bulk Powder."
"urate oxidase","CHEMBL1201594","Drug",NULL,"use","treats","hyperuricemia","MESH:D033461","Disease","Urate oxidase (Uox), an enzyme catalyzing oxidation of uric acid to allantoin, is widely used as diagnostic reagents and for treatments of uarthritis and hyperuricemia diseases."
"sumatriptan succinate","CHEMBL1201150","Drug",NULL,"use","treats","migraine","MESH:D008881","Disease","Back ground and the purpose of study  Sumatriptan succinate is a Serotonin 5- HT1 receptor agonist, used in treatment of migraine."
"doxorubicin","CHEMBL53463","Drug",NULL,"treatment","treats","end-of-life","MESH:D003643","Disease","When the discount was applied, the mean base-case and probabilistic incremental cost-effectiveness ratios (ICERs) for olaratumab plus doxorubicin versus the standard-of-care doxorubicin were $46.076 and $47.127 per quality-adjusted life-year (QALY) gained, respectively; the probability of this treatment being cost effective at the willingness-to-pay threshold of $50.000 per QALY gained, applicable to end-of-life treatments, was 0.54."
"ifn","CHEMBL2108506","Drug",NULL,"therapy","treats","anorexia","MESH:D000855","Disease","Interferon-alpha (IFN) therapy induces feeding suppression that resembles anorexia."
"methimazole","CHEMBL1515","Drug",NULL,"treatment","treats","Graves' disease","MESH:D006111","Disease","The authors support the convenience of a considerable extension of the traditional long-term methimazole treatment of Graves' disease."
"gentamicin","CHEMBL463809","Drug",NULL,"treatment","treats","pyelonephritis","MESH:D011704","Disease","dose (10 mg/kg) of gentamicin (S) with a standard multiple dose regimen (M) of gentamicin (2.5 mg/kg i.v. stat and then computer generated divided doses aiming for peak and trough concentrations of 8 and 1.5 mg/l respectively) for the treatment of patients with suspected acute pyelonephritis requiring hospitalization for parenteral antibiotic treatment."
"fluvastatin","CHEMBL2220442","Drug",NULL,"mitigate","treats","nephrosis","MESH:D009401","Disease","Fluvastatin also mitigated tubulointerstitial damage in PAN nephrosis, with the repression of PAN-induced NF-kappaB and activator protein-1 activation in the kidneys."
"prednisolone","CHEMBL131","Drug",NULL,"diagnose","treats","pachymeningitis","MESH:D008581","Disease","He was diagnosed as having hypertrophic cranial pachymeningitis and treated with antibiotics and prednisolone."
"streptokinase","CHEMBL2108147","Drug",NULL,"use","treats","brain stroke","MESH:D020521","Disease","Streptokinase is a valuable fibrinolytic agent used to cope with myocardial infarction and brain stroke."
"methylbenzethonium chloride","CHEMBL3989842","Drug",NULL,"treatment","treats","cutaneous leishmaniasis","MESH:D016773","Disease","[Successful topical treatment of chronic cutaneous leishmaniasis with paromomycin sulfate (15%) and methylbenzethonium chloride (12%)]."
"aspirin","CHEMBL25","Drug",NULL,"treatment","treats","acute coronary syndromes","MESH:D054058","Disease","Treatment with dual antiplatelet therapy (DAPT), typically combining a P2Y12 inhibitor with aspirin, is the standard of care for the prevention of coronary stent thrombosis, especially post revascularization and in the setting of acute coronary syndromes (ACS)."
"leucovorin","CHEMBL1679","Drug",NULL,"chemotherapy","treats","gc","MESH:D013274","Disease","PATIENTS AND METHODS: Using the patient cohort (n = 1.545) from the UGT1A1 genotype study, we compared the efficacy and safety between elderly and nonelderly patients with metastatic CRC (n = 934) or GC (n = 611) who received first- or second-line FOLFIRI (irinotecan, leucovorin, and 5-fluorouracil) chemotherapy."
"gemcitabine","CHEMBL888","Drug",NULL,"treatment","treats","pda","MESH:D000230","Disease","Design, Setting, and Participants: This was a single-arm, open-label, phase 1b/2 clinical trial of nab-paclitaxel plus gemcitabine plus cisplatin treatment in which 25 patients with previously untreated metastatic PDA were enrolled."
"cholecystokinin","CHEMBL1121","Drug",NULL,"use","treats","seizures","MESH:D012640","Disease","Immunocytochemistry and in situ hybridization techniques were used for investigating changes in cholecystokinin immunoreactivity and mRNA in the cerebral cortex and hippocampus after kainic acid-induced limbic seizures in the rat."
"valproic acid","CHEMBL109","Drug",NULL,"improve","treats","hemorrhage","MESH:D006470","Disease","In this study, we investigated whether valproic acid (VPA), a known mood stabilizer and anticonvulsant with HDAC-inhibiting activity, improves survival following otherwise lethal hemorrhage in rats."
"gcb","CHEMBL458347","Drug",NULL,"treat","treats","hcc","MESH:D006528","Disease","These results indicate that GCB exhibits anti-metastatic properties in Huh7 cells, suggesting that it could be used to treat HCC."
"octreotide","CHEMBL1680","Drug",NULL,"therapy","treats","gallstones","MESH:D042882","Disease","Gallstones completely disappeared in 6/14 patients (42.8%; five patients with newly developed stones and one with stones prior to octreotide therapy) after a mean of 30.8 months of ursodeoxycholic acid treatment."
"sirolimus","CHEMBL413","Drug",NULL,"therapy","treats","thrombocytopenia","MESH:D013921","Disease","Sirolimus as a rescue therapy in children with immune thrombocytopenia refractory to mycophenolate mofetil."
"diazepam","CHEMBL12","Drug",NULL,"use","treats","anxiety","MESH:D001008","Disease","CONCLUSIONS: Elevated blood pressure and anxiety in acute epistaxis patients reduced on epistaxis resolution irrespective of oral diazepam use."
"tcz","CHEMBL1237022","Drug",NULL,"therapy","treats","disease","MESH:D004194","Disease","AIM: To evaluate the impact of tocilizumab (TCZ) therapy on the level of matrix metalloproteinase-3 (MMP-3) 4, 24, and 48 weeks after treatment initiation in relation to the clinical efficiency of TCZ therapy by the Disease Activity Score (DAS28), the Clinical Disease Activity Index (CDAI), and the Simplified Disease Activity Index (SDAI)."
"natalizumab","CHEMBL1201607","Drug",NULL,"treatment","treats","MS","MESH:D009103","Disease","We investigated changes in peripheral blood cells' gene expression induced by natalizumab treatment in anti-JCV antibody-negative MS patients and tested blood transcriptional profile that characterizes patients predisposed to antibody switch under natalizumab treatment."
"voriconazole","CHEMBL638","Drug",NULL,"use","treats","strains","MESH:D013180","Disease","In the absence of CBPs for voriconazole and C. glabrata (and less common species), we recommend that their respective ECVs be used to detect the emergence of non-WT strains."
"tnf-alpha","CHEMBL265582","Drug",NULL,"treatment","treats","diabetes mellitus","MESH:D003920","Disease","Spontaneous diabetes mellitus was blocked in NOD mice by long-term treatment with recombinant TNF-alpha."
"bosentan","CHEMBL957","Drug",NULL,"treatment","treats","pah","MESH:D000081029","Disease","In this study, we verified the hypothesis of the feasibility of dry powder inhalation of bosentan as an alternative to oral bosentan hydrate for the treatment of PAH."
"antibiotic","CHEMBL606111","Drug",NULL,"treatment","treats","cdi","MESH:D003015","Disease","The initiation of treatment within 2 days of symptoms onset reduced the duration of first isolation (P value &lt; .0001); however, the type of initial antibiotic used for CDI treatment was not associated with the duration of isolation."
"interferon alpha","CHEMBL2108506","Drug",NULL,"therapy","treats","vh-b","MESH:D006509","Disease","Selected immunological, biochemical, and other viral hepatitis B (VH-B) markers were followed and analysed during ""conventional"" or human interferon alpha (HuIFN alpha) therapy of patients with different forms of VH-B."
"fluoxetine","CHEMBL41","Drug",NULL,"use","treats","HIV-1-infected","MESH:D015658","Disease","RESULTS: Of the 173 HIV-1-infected individuals, 14 were using fluoxetine (n = 7) or fluvoxamine (n = 7) simultaneously with nevirapine."
"adriamycin","CHEMBL53463","Drug",NULL,"treatment","treats","cancer","MESH:D009369","Disease","Cyclophosphamide, Adriamycin, and cisplatin were given as the initial postoperative treatment to 35 patients with Stages II through IV ovarian cancer of epithelial origin during two time periods."
"ligustrazine","CHEMBL303697","Drug",NULL,"treatment","treats","pih","MESH:D006973","Disease","The treatment with ligustrazine, and especially both Ligustrazine and magnesium sulfate in PIH rats could obviously relieve the lesions in lives, kidneys and placentae."
"antibiotic","CHEMBL606111","Drug",NULL,"improvement","treats","respiratory distress syndrome","MESH:D012128","Disease","MAIN RESULTS: Significant improvement in glucose control, use of enteral feeding, antibiotic use, adult respiratory distress syndrome survival, laboratory use, blood gases use, radiograph use, and appropriate use of sedation."
"iri","CHEMBL541887","Drug",NULL,"treatment","treats","colorectal cancer","MESH:D015179","Disease","Compared with IRI, OXA is more appropriate for the treatment of advanced colorectal cancer when combined with 5-FU/LV."
"snp","CHEMBL136478","Drug",NULL,"sensitive","treats","ml","MESH:D008223","Disease","Cultured cells from the ML patient remained sensitive to SNP after the cells became resistant to anti-cancer drugs."
"allopurinol","CHEMBL1467","Drug",NULL,"use","treats","injury","MESH:D014947","Disease","Here, we investigated whether pretreatment with sodium nitrite can attenuate liver damage in hepatic ischemia-reperfusion injury and identified the possible mechanism of nitrite reduction using 2-(4-carboxyphenyl)-4.5dihydro-4.4,5,5-tetramethyl-1H-imidazolyl-1-oxy-3oxide (C-PTIO), a nitric oxide scavenger, and allopurinol, a xanthine oxidoreductase inhibitor."
"daptomycin","CHEMBL387675","Drug",NULL,"treatment","treats","endocarditis","MESH:D004696","Disease","Ceftobiprole is superior to vancomycin, daptomycin, and linezolid for treatment of experimental endocarditis in rabbits caused by methicillin-resistant Staphylococcus aureus."
"temocapril","CHEMBL2110627","Drug",NULL,"therapy","treats","hypertension","MESH:D006973","Disease","These results indicate that long-term therapy with temocapril may be superior in reducing UAE than is diuretic therapy in patients with essential hypertension who had no signs of renal impairment."
"mtx","CHEMBL34259","Drug",NULL,"use","treats","autoimmune disease","MESH:D001327","Disease","These formulations represent an initial step to the development of targeted liposomes or particles, which can be tailored for the specific application MTX is used for (cancer, autoimmune disease or others)."
"cisplatin","CHEMBL11359","Drug",NULL,"treat","treats","cervical cancer","MESH:D002583","Disease","Clinicopathological variables predictive of clinical outcome in patients with FIGO stage Ib2-IIb cervical cancer treated with cisplatin-based neoadjuvant chemotherapy followed by radical hysterectomy."
"urate oxidase","CHEMBL1201594","Drug",NULL,"use","treats","diseases","MESH:D004194","Disease","Urate oxidase (Uox), an enzyme catalyzing oxidation of uric acid to allantoin, is widely used as diagnostic reagents and for treatments of uarthritis and hyperuricemia diseases."
"aniracetam","CHEMBL36994","Drug",NULL,"prevent","treats","hypoxia","MESH:D000860","Disease","Vinpocetine, vincamine, aniracetam, and Hydergine, compounds with purported cognition activating activity, were evaluated for their ability to prevent scopolamine-induced and hypoxia-induced impairment of passive avoidance retention (24 hr) in rats."
"insulin","CHEMBL1201631","Drug",NULL,"use","treats","ieq/kg","MESH:D001835","Disease","A multiple logistic regression using gender, body mass index, and IEQ/kg identified female gender as the only notable variable associated with insulin independence."
"docetaxel","CHEMBL3545252","Drug",NULL,"therapy","treats","gastro-oesophageal adenocarcinoma","MESH:D005764","Disease","In general, combination therapy with docetaxel, cisplatin and fluorouracil was relatively well tolerated given the nature of chemotherapy in patients with metastatic or locally advanced/recurrent gastric or gastro-oesophageal adenocarcinoma"
"artemin","CHEMBL4297910","Drug",NULL,"promote","treats","pancreatic adenocarcinoma","MESH:D010190","Disease","Conclusions Artemin could promote invasiveness and neurotrophic function of pancreatic adenocarcinoma in vivo and in vitro."
"lenvatinib","CHEMBL1289601","Drug",NULL,"diagnose","treats","Anaplastic thyroid carcinoma","MESH:D065646","Disease","Anaplastic thyroid carcinoma diagnosed after treatment of lenvatinib for papillary thyroid carcinoma."
