"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"braf","673","Gene","could affect","can affect","therapy","MESH:D013812","Method","Tumor sequencing identified 284 cases with KRAS , NRAS , or BRAF mutations that could affect therapy for stage IV CRC , avoiding another test ."
"induction of labour","MESH:D007751","Method","using","use","artificial rupture of membranes","MESH:D000074885","Method","RESULTS : Induction of labour using artificial rupture of membranes , prostaglandins , oxytocin infusion or a combination , was associated with lower vaginal birth rates ."
"vitamin d","CHEMBL1042","Drug","is","be","risk factors","MESH:D012307","Method","Vitamin D deficiency is one of the risk factors for increased susceptibility to COVID-19 ."
"indirect immunofluorescence","MESH:D019084","LabMethod","confirmed","confirm","gingivitis","MESH:D005891","Disease","RESULTS : Direct and indirect immunofluorescence testing confirmed the clinical diagnosis of IgG/IgA pemphigoid as the cause of desquamative gingivitis and the other mucosal findings in this patient ."
"patients","9606","Species","had","have","ct","MESH:D014054","Method","DESIGN , SETTING , AND PARTICIPANTS : Forty-two postplatinum patients with mUC treated with PD-1/PD-L1 inhibitors from 2013 to 2018 , including those with measurable disease per RECIST 1.1 who had contrast-enhanced baseline or first follow-up CT within 3mo after starting treatment , were included ."
"syndrome","MESH:D013577","Disease","caused","cause","pituitary adenoma","MESH:D010911","Disease","INTRODUCTION : Nelson 's syndrome ( NS ) is a rare clinical syndrome caused by an enlarging , aggressive corticotroph pituitary adenoma that can occur following bilateral adrenalectomy performed in the treatment of refractory Cushing 's disease ( CD ) ."
"myeloperoxidase","4353","Gene","resulted","result","diagnosis","MESH:D003933","Method","The unexpected double myeloperoxidase/proteinase 3-ANCA positivity triggered a multidisciplinary diagnostic work-up and resulted in the diagnosis of a clinically overt PTU-induced AAV ."
"patients","9606","Species","cited","cite","pain","MESH:D010146","Disease","Based on results from preference studies of triptans , 50 % of patients cited more rapid pain relief as the most important determinant of treatment preference ."
"vaspin","191570","Gene","may provide","may provide","insulin","3630","Gene","Together , our results demonstrate for the first time that fenofibrate upregulates vaspin expression in dyslipidemic human subjects and suggest that upregulation of vaspin expression in adipocytes may provide a mechanism by which fenofibrate improves insulin sensitivity in dyslipidemic patients ."
"patients","9606","Species","received","receive","retinal detachment","MESH:D012163","Disease","All patients received silicone oil for the management of retinal detachment either concurrently or during follow-up treatment ."
"patients","9606","Species","using","use","polyacrylamide gel electrophoresis","MESH:D004591","LabMethod","Isoenzymes of GT have been recognized , especially in tumor tissues , malignant effusions , and sera of cancer patients using polyacrylamide gel electrophoresis in the presence and absence of SDS ."
"vaccines","MESH:D014612","Vaccine","have emphasized","have emphasize","infection","MESH:D007239","Disease","Past efforts to develop vaccines for RSV have emphasized prevention of lower respiratory tract infection in infants , which is a more serious problem but less common than AOM ."
"weight","MESH:D014894","Method","was","be","egf","108348113","Gene","Although all the animals in subgroups significantly gained weight , the mean weight gain was significantly low in controls when compared with sham , CAPE , and EGF groups ( P & lt ; .05 ) ."
"weights","MESH:D014894","Method","was","be","rat","10116","Species","In a 35-day study , the reduction of the male genital organ weights by once a day treatment ( 2 mg/rat , qd ) was similar to that by twice a day treatment ( 1 mg/rat , bid ) at the same dose level ."
"rosiglitazone","CHEMBL121","Drug","is not inhibited","be not inhibit","cycloheximide","CHEMBL123292","Drug","Rosiglitazone-mediated induction of ATGL mRNA is rapid and is not inhibited by the protein synthesis inhibitor cycloheximide , indicating that intervening protein synthesis is not required for this effect ."
"hsps","Proteins","Excipient","could have","can have","radiotherapy","MESH:D011878","Method","New bladder cancer treatment strategies that target HSPs are being investigated and could have a synergistic role with modern radiotherapy and chemotherapy regimens ."
"chicory","13427","Species","decreased significantly","decrease significantly","uric acid","CHEMBL792","Chemical","Results The administration of chicory decreased the serum uric acid level significantly and increased the intestinal uric acid excretion obviously in hyperuricemic rats induced by 10 % fructose drinking ."
"hrt","MESH:D020249","Method","compared","compare","diagnosis","MESH:D003933","Method","Time-dependent cox regression models will be used to calculate hazard ratios ( HR ) and 95 % confidence intervals ( 95 % CIs ) for cancer specific death in HRT users compared with non-users after cancer diagnosis after adjusting for relevant confounders , stratified by cancer site ."
"protein","Proteins","Excipient","could prove","can prove","lectins","Lectins","Excipient","Thus , wheat , barley , rye and corn can serve as convenient sources of a family of closely related inhibitors of protein synthesis which , when conjugated with lectins , antibodies , or hormones , could prove useful as chimeric toxins ."
"lymphoma","MESH:D008223","Disease","was decreased","be decrease","aml","MESH:D015470","Disease","In samples of the cells of the patients with ML and AML , the number of CD3 positive lymphoma cell was decreased by SNP and the number of CD33 negative cells and normal B lymphocytes ( CD19 positive cells ) were increased ."
"cell therapy","MESH:D064987","Method","following","follow","metastases","MESH:D009362","Disease","Long-term clinical outcome of melanoma patients treated with messenger RNA-electroporated dendritic cell therapy following complete resection of metastases ."
"copeptin","551","Gene","was","be","mortality","MESH:D009026","Method","Copeptin was a significant predictor of time to mortality { HR ( hazard ratio ) , 5.98 [ 95 % CI ( confidence interval , 3.75-9.53 ] ; P & lt ; 0.0005 } in univariate analysis and remained a significant predictor in multivariate analysis [ HR , 3.03 ( 05 % CI , 1.32-6.98 ) ; P = 0.009 ] ."
"human","9606","Species","has been studied","have be study","injection","MESH:D007267","Method","The action of insulin on plasma cyclic nucleotide concentrations in normal human subjects has been studied after intravenous injection , alone and in combination with glucagon ."
"pellets","FIDX20","DosageForm","containing","contain","progesterone","CHEMBL103","Chemical","We gave adult ovariectomized female rats subcutaneous pellets containing different dosages of 17 beta-estradiol alone or in combination with progesterone , or placebo pellets , for 2 weeks ."
"proline","CHEMBL54922","Excipient","virus-induced cell fusion suggesting","virus - induce cell fusion suggest","proline","CHEMBL72275","Excipient","Dimers of 18A connected via a proline ( 37pA ) or an alanine ( 37aA ) residue also inhibited virus-induced cell fusion at similar concentration , suggesting that the presence of a proline turn does not influence the antiviral activity of the amphipathic peptides ."
"injection","MESH:D007267","Method","were seen","be see","participants","9606","Species","Serious adverse events within 12 months after injection were seen in 40 participants ( 8.0 % ) in the ChAd3-EBO-Z group , in 47 ( 9.4 % ) in the rVSVDeltaG-ZEBOV-GP group , and in 59 ( 11.8 % ) in the placebo group ."
"cysteine","CHEMBL863","Excipient","to account","to account","edrf","51327","Gene","Although pharmacological and chemical evidence indicates that EDRF is nitric oxide , other candidates , including S-nitrosocysteine , dinitrosyl-iron-cysteine complex , nitroxyl and hydroxylamine , have been proposed to account for the vasorelaxant properties of EDRF ."
"gaa","CHEMBL281593","Drug","was not recognized","be not recognize","citrulline","CHEMBL444814","Drug","GAA synthetic activity was not recognized after the addition of hydroxyurea , citrulline and argininosuccinic acid in the medium ."
"hi","MESH:C538424","Disease","should be investigated","should be investigate","mcf","MESH:D009369","Disease","For MCF and ANF , administering higher doses with longer dosing intervals achieves better target attainment and should be investigated in clinical trials ."
"patient","9606","Species","was diagnosed","be diagnose","ptld","MESH:D008232","Disease","The patient was finally diagnosed with EBV-positive PTLD by in situ hybridization for EBER ( EBV-encoded RNA ) , and was successfully treated based on the reduction of immunosuppression ."
"vena cava filter","MESH:D016306","Method","are indicated","be indicate","patients","9606","Species","BACKGROUND : Inferior vena cava filters ( IVCFs ) are indicated for therapeutic and prophylactic treatment of venous thromboembolism in patients when anticoagulation has failed or is contraindicated ."
"disease","MESH:D004194","Disease","featuring","feature","concurrent chemoradiotherapy","MESH:D059248","Method","More aggressive disease management featuring prophylactic concurrent chemoradiotherapy including neck or elective neck dissection plus chemotherapy should be considered for T3-T4 patients as opposed to T1-T2 patients ."
"se","MESH:D013226","Disease","was performed","be perform","dees","MESH:D001927","Disease","Methods Targeted next-generation sequencing was performed to identify pathogenic mutations in 205 cases with DEEs of unknown etiology ."
"cancer","MESH:D009369","Disease","shows","show","glutamine","CHEMBL930","Chemical","Moreover , a new paradigm in cancer metabolism shows how cancer cells act like `` metabolic parasites '' to take up the high-energy metabolites , such as lactate , ketone bodies , free fatty acids , and glutamine from supporting cells , including CAFs and cancer-associated adipocytes ( CAAs ) [ 15 , 16 ] ."
