"predicate","relation","count"
"wheeze",NULL,117
"integrate","associated",116
"damage",NULL,116
"progress",NULL,116
"switch",NULL,115
"validate","compares",115
"disrupt","inhibits",115
"advance",NULL,114
"cure",NULL,113
"predispose","induces",113
"regard","compares",113
"gain",NULL,113
"expand","associated",113
"condition",NULL,113
"open",NULL,111
"eliminate","treats",111
"polyunsaturate",NULL,109
"hold",NULL,109
"enhancer",NULL,108
"survive","associated",108
"prime",NULL,107
"minimize","treats",107
"encapsulate",NULL,107
"resolve",NULL,106
"judge",NULL,104
"belong","associated",104
"inoculate","associated",103
"targeting",NULL,103
"phosphorylate","interacts",103
"regress",NULL,102
"transfer",NULL,101
"infiltrate",NULL,101
"normalize","associated",99
"expect",NULL,99
"exceed",NULL,99
"preserve","associated",99
"stop",NULL,99
"fare",NULL,98
"infuse",NULL,98
"bring","associated",98
"look","associated",97
"harbor","associated",97
"Chemotherapy",NULL,96
"disappear",NULL,96
"co-immobilize",NULL,96
"drop","decreases",96
"implement","associated",96
"repeat",NULL,95
"functionalize",NULL,94
"scatter",NULL,94
"concern",NULL,94
"engineer",NULL,93
"fuse",NULL,93
"transmit",NULL,91
"conclude","associated",91
"discontinue",NULL,90
"formulate","associated",90
"point",NULL,90
"keep",NULL,90
"prompt",NULL,89
"attenuation",NULL,89
"come",NULL,89
"permit","treats",88
"rise","decreases",88
"imply","associated",87
"simulate",NULL,86
"counter",NULL,86
"originate","compares",86
"go",NULL,85
"Treatment",NULL,85
"co-culture",NULL,84
"proliferate","associated",84
"summarize","compares",84
"rule",NULL,83
"lymphoma",NULL,83
"cap",NULL,82
"thrive",NULL,82
"down regulate",NULL,82
"transport",NULL,81
"schedule",NULL,81
"unravel","associated",81
"let",NULL,81
"-1-infect",NULL,81
"contrast",NULL,80
"anesthetize",NULL,80
"worsen",NULL,80
"decide",NULL,79
"adverse",NULL,79
"amplify",NULL,79
"conserve",NULL,78
"relapse",NULL,78
"persist",NULL,78
"substitute",NULL,78
"exploit","associated",77
"receiver",NULL,77
"mix",NULL,77
"discriminate",NULL,77
