predicate	count	relation
be identify	192	
be reflective of	192	
effect of	192	
encompass campaign before	192	
use datum from	192	
calculate	191	
share	191	
exert	189	
add to	188	
be know	187	
have approve	187	
publish	187	
situate	187	
survey	187	
be ability of	186	
capture	186	
be devote to	184	
differ from	183	
go	183	
might	182	
occur in	182	
want	182	
be develop	181	
follow by	181	
be concern	180	
pursue goal	180	
have prove	177	
pursue	177	
set	175	
adoption of	174	
assist in	174	
also investigate	173	
re-examine	173	
be explore	172	
construct	171	
lead	171	
decrease	170	
fully understand	170	
result for	170	
be determine	169	
have play	169	
lay foundation for	169	
mark	169	
apply to	168	
be available regard	168	
bring together	168	
on subcommittee be	168	
start face	168	
concern	167	
expect	167	
use in	167	
be to	166	
draw from	166	
manage	166	
acknowledge	165	
be emergence of	165	
be result of	165	
have adopt	165	
inform	165	
witness	165	
be counter with	164	
development of	164	
receive on	163	
catastrophe of be	162	
join	162	
set out	161	
specifically focus	161	
be counter successfully with	160	
be examine with	160	
come up with	160	
specifically argue	160	
be trace to	158	
come to	158	
be concern with	157	
control	156	
express	156	
summarize	156	
divide	155	
be extremely suitable in	154	
be suitable in	154	
characterize	154	
stress	154	
will continue	154	
be find in	153	
for	153	
consequently have become	152	
be engage in	151	
have experience	151	
regulate	151	
deliver	150	
limit	150	
be consider as	149	
damaging result for	149	
most damaging result for	149	
possess	149	
shift	149	
speculate	149	
get	148	
be support by	146	
analysis	145	
model	145	
be link to	144	
be present in	144	
overcome challenge by	144	
perceive	144	
shed light on	144	
benefit from	143	
aim at	142	
show base	142	
thus explore	141	
be examine in	140	
have flare up	140	
have take	140	
partylook upon	140	
pay	140	
undergo	140	
will find	140	
put	139	
role of	139	
use of	139	
expand	138	
yet come up with	138	
also examine	137	
area of be	137	
be test	137	
finally be examine with	137	
purpose of	137	
should consider	137	
test for	137	
turn	137	
be find for	136	
be toward	136	
find in	136	
propose emission standard for	136	
take place in	136	
also provide	135	
incorporate	135	
also consider	134	
coincide with	134	
have result in	134	
stimulate	134	
argue for	133	
be accompany by	133	
be consider along	132	
be discuss in	132	
couple with	132	
have focus on	132	
issue	132	
show in	132	
turn out	132	
be central to	131	
be examine	131	
examine referendum practice with	130	
agree with	129	
believe	129	
extend	129	
from	129	
have emerge as	128	
render	128	
sideline	128	
be assume	127	
be estimate magnitude in	127	
be need	127	
complete	127	
demand	127	
evolve	127	
play in	127	
realize	127	
act as	126	
be use for	126	
enter	126	
exceed	126	
hence be represent	126	
reinforce	126	
start	126	
be go	125	
be useful	125	
have produce	125	
permit	125	
be represent	124	
distinguish between	124	
write	124	
accept	123	
be understand as	123	
conceive	123	
have declare	123	
have show	123	
keep	123	
quantify	123	
al	122	
also have	122	
have pay attention to	122	
have tend	122	
may serve as	122	
should support turkey in	122	
view	122	
be for	121	
continue in	121	
dispute	121	
analyze content	120	
assume	120	
be customary	120	
be responsible for	120	
have hold share	120	
mean follow	120	
remain in	120	
revisit	120	
be explain by	119	
be use in	118	
may have	118	
be clear from	116	
may make	116	
move to	115	
try	115	
arrange	114	
be determine by	114	
be drive by	114	
be explore advice as	114	
be limit to	114	
come	114	
emergence of	114	
engage with	114	
offer account from	114	
participate	114	
with	114	
be review	113	
be see	113	
enjoy	113	
mean	113	
underline	113	
be painfully clear from	112	
connect	112	
contribute on	112	
defend	112	
fill	112	
lack of	112	
mitigate	112	
role in	112	
shift in	112	
simply appear	112	
will assess understanding	112	
aim of	111	
answer	111	
be argue	111	
focus upon	111	
occupy	111	
organize around	111	
point out	111	
retain	111	
be constitute	110	
be think	110	
sustain	110	
transform	110	
author	109	
be evaluate	109	
drive	109	
impose	109	
treat	109	
favor	108	
have bring	108	
also analyse	107	
argue in	107	
attend to	107	
be from	107	
play to	107	
aspect of	106	
derive from	106	
eliminate	106	
expose issue in	106	
focus as	106	
have undergo	106	
market as	106	
replicate	106	
preserve	105	
shot of	105	
allow emergence	104	
be apply	104	
be cause by	104	
be form	104	
evolution of be	104	
perhaps play to	104	
recommend	104	
second be go	104	
thus avoid	104	
turn to	104	
be recognize	103	
have begin	103	
impact of	103	
interact with	103	
be permit	102	
develop in	102	
overcome	102	
part of	102	
be by	101	
be study	101	
depict	100	
enter singapore	100	
furthermore find	100	
pay attention to	100	
place	100	
be correlate with	99	
rest on	99	
be motivate	98	
be tie to	98	
be view as	98	
clarify	98	
emphasise	98	
encompass	98	
examine question through	98	
have create	98	
may also serve as	98	
need for	98	
select	98	
be example of	97	
be explore through	97	
increase in	97	
justify	97	
afterwards be answer by	96	
approach	96	
be answer by	96	
be draw from	96	
be recommend in	96	
control for	96	
handle	96	
lose	96	
obstruct	96	
play role	96	
think about	96	
work	96	
would indicate deficit	96	
adapt to	95	
be notable for	95	
be obtain in	95	
delineate	95	
reach beyond	95	
study of	95	
support for	95	
confront	94	
go beyond	94	
have suggest	94	
ignore	94	
reconcile	94	
bring claim	93	
counter	92	
be necessary	91	
entail	91	
map	91	
remain despite	91	
be affect by	90	
be consider in	90	
be contributor to	90	
be involve in	90	
be subject to	90	
better understand	90	
cause by	90	
know as	90	
rather emerge from	90	
result	90	
work in	90	
base	89	
be expect	89	
fulfil	89	
learn from	89	
provide insight in	89	
question	89	
be influential	88	
be prepare as	88	
be source of	88	
consider as	88	
contribute by	88	
draw in	88	
have give way to	88	
hold for	88	
improve livelihood	88	
invite	88	
recommend breastfeeding follow	88	
reform	88	
run into	88	
should on	88	
tackle question by	88	
undermine	88	
access to	87	
also demonstrate	87	
attain	87	
be interested in	87	
be observe in	87	
conduct in	87	
seek to	87	
arise from	86	
be dominant contributor to	86	
concentrate	86	
embrace	86	
process of	86	
also highlight	85	
be determinant of	85	
by	85	
element	85	
have cause	85	
mobilize	85	
simulate	85	
weaken	85	
alter	84	
be analyse	84	
be argue model	84	
be contribute to	84	
be hypothesize	84	
be take	84	
consist in	84	
do really say	84	
do say	84	
emerge in	84	
have highlight	84	
publication of be	84	
register datum from	84	
reverse	84	
uncover	84	
be important for	83	
be make for	83	
be present for	83	
begin with	83	
celebrate	83	
end	83	
form of	83	
tell	83	
analytical sophistication	82	
be tempt	82	
detect	82	
entrenchment of	82	
govern	82	
guide	82	
implicit entrenchment of	82	
program for	82	
promote analysis through	82	
randomize	82	
sophistication	82	
will have	82	
also perform	81	
also play role in	81	
be compare with	81	
be stable	81	
carry	81	
contribution of be	81	
elicit	81	
live in	81	
open	81	
see as	81	
third also perform	81	
third perform	81	
thus contribute	81	
be allocate	80	
be closely tie to	80	
be compare	80	
conclude by	80	
consider type	80	
correlate with	80	
fill gap by	80	
give rise to	80	
have determine	80	
have devote attention	80	
purport	80	
review shortcoming in	80	
successful program for	80	
be higher than	79	
mediate	79	
attach percentage to	78	
attract	78	
be analyze	78	
be between	78	
be important in	78	
be move national into	78	
be regard as	78	
be understand	78	
expose	78	
have in	78	
may investigate	78	
point as	78	
relate	78	
retain hand over	78	
solve	78	
account	77	
be increase	77	
carry out	77	
characterize by	77	
concretely examine	77	
da	77	
detail	77	
alike fail	76	
be diverse from	76	
can provide	76	
function as	76	
goal of	76	
however appear	76	
level of	76	
reconsider	76	
remain regard	76	
also reveal	75	
be figure in	75	
become in	75	
define as	75	
have demonstrate	75	
have find	75	
increase with	75	
legitimize concession from	75	
make for	75	
target	75	
will result in	75	
be follow by	74	
component of be	74	
diminish	74	
escape	74	
have contribute to	74	
hold in	74	
important component of be	74	
synthesize	74	
time	74	
would encourage	74	
be predictor of	73	
come from	73	
force	73	
growth of	73	
impact	73	
model of	73	
on committee be	73	
add before	72	
be attribute to	72	
be low due	72	
be perceive as	72	
be propose as	72	
be simply unprepared with	72	
be surprisingly stable	72	
be unprepared with	72	
carefully nurture routine of be	72	
document	72	
end of	72	
have achieve	72	
have impact	72	
have now give way to	72	
integrate health risk assessment into	72	
mutant	72	
nurture routine of be	72	
overall have	72	
routine of be	72	
state	72	
supplement by	72	
will depend upon	72	
begin in	71	
come in	71	
consider in	71	
correspond to	71	
distinguish	71	
have change	71	
lie in	71	
write by	71	
appear in	70	
be mediate by	70	
be sensitive to	70	
be suggest	70	
commonly call	70	
continue despite	70	
deploy	70	
be blame as	69	
be focus on	69	
be observe	69	
embark on	69	
have recognize	69	
have use	69	
monitor	69	
provide prior	69	
recover	69	
resonate with	69	
add	68	
also address	68	
aspect of be	68	
be critical of	68	
be effective in	68	
be intertwine with	68	
be more than	68	
be record of	68	
clearly demonstrate	68	
exist in	68	
name	68	
objective of	68	
other aspect of	68	
provide evidence	68	
react to	68	
respond by	68	
stand in	68	
still have	68	
stop	68	
use of be	68	
also explore	67	
be define as	67	
be dependent on	67	
be key to	67	
be make between	67	
bear	67	
complicate	67	
effect of be	67	
hail rise in	67	
isolate	67	
meaning	67	
organise	67	
overview of	67	
suffer	67	
variously hail rise in	67	
be compose of	66	
be precede by	66	
be reduce	66	
can learn from	66	
comment on	66	
cultural meaning	66	
die in	66	
emerge as	66	
have emerge from	66	
have place stress on	66	
here look	66	
however tend	66	
prefer	66	
purpose	66	
regard	66	
stem from	66	
use for	66	
use with	66	
also discuss	65	
can have	65	
dominate	65	
draw attention to	65	
have lead	65	
may remain	65	
reproduce	65	
shed	65	
supply	65	
thereby shape	65	
think critically about	65	
also be critical of	64	
appeal to	64	
be bring for	64	
be buttress by	64	
be investigate as	64	
be locate in	64	
be marginalise	64	
be motivate by	64	
be robust to	64	
come as	64	
concentrate on	64	
differ in	64	
focus in	64	
have defend	64	
hinder	64	
hinder attainment	64	
nonetheless continue	64	
number of	64	
oversee by	64	
promise	64	
remain before	64	
striking aspect of be	64	
threaten	64	
thus ensure	64	
be embed in	63	
be possible with	63	
be require	63	
engage	63	
house of	63	
interpret	63	
prepare	63	
thus offer	63	
activate	62	
be crucial in	62	
be deal in	62	
be draw initially from	62	
be estimate	62	
be premodern understanding of	62	
be understanding of	62	
before hearing be	62	
can lead to	62	
die die	62	
encounter	62	
exacerbate	62	
have generate	62	
lower	62	
may face	62	
mention	62	
occur	62	
source of be	62	
thus become	62	
type of	62	
will on	62	
approve	61	
be address by	61	
be deem	61	
be different from	61	
be include in	61	
conclude	61	
contribution to	61	
intervention	61	
lie	61	
look into	61	
operate in	61	
proposal for	61	
provide by	61	
provide reader with	61	
specify	61	
structure	61	
university of	61	
adapt	60	
also present	60	
be better protect because	60	
be create for	60	
be overcompensate by	60	
be protect because	60	
be select	60	
can undermine	60	
carry out with	60	
common recourse to	60	
effort	60	
extent of	60	
have long recognize	60	
instead be find	60	
lower wage standard from	60	
move	60	
negotiate trade off among	60	
present through	60	
recourse to	60	
situate mode within	60	
unpack	60	
be despite	59	
initiate	59	
manifest	59	
modify	59	
proportion of be	59	
take advantage of	59	
ask	58	
attach to	58	
be capable despite	58	
be perform	58	
be product of	58	
be unprecedented by	58	
contribute through	58	
extend to	58	
have emerge	58	
have opt	58	
thank	58	
will stand up	58	
at	57	
be analyze in	57	
be cause of	57	
be far	57	
be form through	57	
be mark by	57	
can contribute to	57	
can serve as	57	
demonstrate by	57	
do serve	57	
exercise	57	
geologically be form through	57	
have among	57	
have focus	57	
influence by	57	
inhibit	57	
learn	57	
move beyond	57	
objective of be	57	
occur with	57	
prompt	57	
push	57	
recognise	57	
resolve	57	
will remain	57	
address lucas critique by	56	
assessment of be	56	
be assess for	56	
be bear during	56	
be define by	56	
be establish as	56	
be fully capable despite	56	
be generally think	56	
be highlight by	56	
be integrate through	56	
be introduce in	56	
be mainly concern	56	
book base	56	
consistently identify	56	
detailed assessment of be	56	
difficult	56	
discuss articulation with	56	
do have	56	
early effort	56	
evoke	56	
further need	56	
have migration system with	56	
however can undermine	56	
increase share	56	
may involve	56	
perform function as	56	
provide student with	56	
read	56	
remove	56	
rethink	56	
use cell proliferation assay with	56	
vary	56	
would render	56	
yield immigrant	56	
address problem as	55	
also use	55	
be capture by	55	
be provide of	55	
become with	55	
conceptualize	55	
consistent with	55	
design	55	
examine consequence in	55	
have consider	55	
however constitute	55	
member of	55	
period	55	
publish by	55	
secure	55	
send	55	
take account of	55	
topic	55	
understanding of	55	
accompany by	54	
be addition	54	
be cast	54	
be lack on	54	
be say	54	
coincide well with	54	
dampen effect on	54	
determine by	54	
have face	54	
issue of	54	
mark beginning	54	
more recently have have	54	
recently have have	54	
relationship between	54	
assessment of	53	
be force	53	
be offer in	53	
be see in	53	
be view in	53	
complement	53	
face in	53	
oppose	53	
resist	53	
be apply in	52	
be associate as	52	
be compare to	52	
be play	52	
be present as	52	
be suppose	52	
can generate	52	
can make	52	
collect	52	
compose	52	
engage closely with	52	
engage particularly closely with	52	
experiment with	52	
formulate	52	
handle smoothly	52	
launch	52	
longer be view in	52	
move in	52	
no longer be view in	52	
offer for	52	
often have	52	
overlook	52	
take up	52	
thus improve	52	
act	51	
also promote	51	
be consideration in	51	
be express in	51	
be obtain for	51	
be suggest as	51	
case of	51	
develop during	51	
examine state from	51	
experience by	51	
grant	51	
have therefore develop	51	
paint	51	
propose method	51	
recover under	51	
accelerate	50	
adjudicate	50	
alleviate	50	
also establish	50	
be examination of	50	
be greater in	50	
be limit	50	
be precipitate by	50	
be supply with	50	
be thus supply with	50	
boost	50	
characteristic of be	50	
concept of	50	
displace person since	50	
emerge	50	
endorse	50	
example of	50	
expansion of	50	
fall in	50	
feature of	50	
further	50	
implicate	50	
influence on	50	
move away	50	
pass by	50	
process	50	
return to	50	
share conception	50	
will take	50	
assess role through	49	
attend	49	
be base	49	
be build	49	
be lead	49	
be striking	49	
be version of	49	
borrow from	49	
cite	49	
comply with	49	
consider programme as	49	
could lead to	49	
dichotomy	49	
finance salary	49	
have reverse policy by	49	
have seemingly reverse policy by	49	
open up	49	
perform on	49	
tackle	49	
will provide	49	
also play	48	
also support	48	
balance	48	
be available	48	
be conduct	48	
be contrast with	48	
be cut by	48	
be examine through	48	
be firmly establish as	48	
be form in	48	
be nonetheless striking	48	
be reduce however	48	
be similar to	48	
be stabilize by	48	
be supersede	48	
be therefore cast	48	
between	48	
can increase	48	
cd152	48	
change of be	48	
come under	48	
commonly produce	48	
develop catalog	48	
do affect	48	
elaborate	48	
examine effect with	48	
examine experience	48	
experience of be	48	
facilitate functioning with	48	
fight	48	
first focus	48	
have yield	48	
however remain	48	
illustrate extent by	48	
investigate effect after	48	
may well involve	48	
meanwhile would address issue	48	
meanwhile would also address issue	48	
of subcommittee be	48	
provide road map to	48	
put constraint	48	
replace	48	
require alliance	48	
retain feature sui generis in	48	
see duty as	48	
shine light on	48	
support growth	48	
surround	48	
trigger reduction	48	
valuation of be	48	
value	48	
weaken corporatist policy by	48	
witness retreat across	48	
worker	48	
would address issue	48	
would also address issue	48	
additionally use	47	
also find	47	
amplify	47	
announce	47	
be treat as	47	
contest	47	
datum from	47	
differentiate between	47	
discussion of	47	
disinfection as	47	
draft	47	
essay	47	
grow in	47	
kill	47	
limit in	47	
maximize	47	
range between	47	
result of	47	
be compel	46	
be contradict by	46	
be contribute from	46	
be describe in	46	
be ground in	46	
be means of	46	
be place	46	
be represent in	46	
be test on	46	
belong to	46	
collection of be	46	
country	46	
country with	46	
difference in	46	
elucidate	46	
first examine	46	
have call for	46	
have depict	46	
history of	46	
insight on	46	
nature of	46	
performance of	46	
redefine	46	
research on	46	
set up	46	
specifically focus on	46	
trigger	46	
would represent	46	
yet represent	46	
accelerate to	45	
additionally also use	45	
articulate	45	
be conduct with	45	
be consequential for	45	
be familiar with	45	
be good predictor of	45	
be shape by	45	
become as	45	
determine in	45	
fall of	45	
favour	45	
feel	45	
have allow	45	
have play in	45	
have undermine	45	
match	45	
pervade	45	
plan	45	
set of	45	
suffer from	45	
violate	45	
already have	44	
approach to	44	
be apply with	44	
be component of	44	
be construct business on	44	
be effective	44	
be essential for	44	
be president in	44	
become after	44	
build up	44	
consequently can serve as	44	
constitute milestone in	44	
constrain	44	
contribute significantly to	44	
decline	44	
degree of	44	
description of	44	
do become	44	
endorse adopt by	44	
exemplify	44	
finally fail	44	
finally shift after	44	
focus search through	44	
gregory	44	
have identify	44	
have move as	44	
minimize	44	
model of be	44	
must operate	44	
pay for	44	
present finding from	44	
principle for	44	
reflect critically on	44	
rise	44	
shift after	44	
should have	44	
speak about	44	
spend	44	
will describe	44	
accommodate	43	
activity	43	
adhere to	43	
also suggest	43	
be assert	43	
be call	43	
be create	43	
be dedicate to	43	
be essential	43	
be experience	43	
be inadequate for	43	
be make up of	43	
be root in	43	
build upon	43	
change over	43	
contribute in	43	
deliberately keep	43	
furthermore offer	43	
information on	43	
legacy of	43	
observe in	43	
own	43	
population	43	
present at	43	
present in	43	
rise of	43	
take on	43	
thus provide	43	
topic cover	43	
und	43	
about	42	
acquire	42	
act in	42	
aq via	42	
attribute stalemate to	42	
be attract by	42	
be best understand as	42	
be connect to	42	
be consistent	42	
be different	42	
be discrete	42	
be generally segregate in	42	
be increase in	42	
be inform by	42	
be segregate in	42	
be something of	42	
be thus attract by	42	
be useful for	42	
can get	42	
caution against	42	
compile	42	
contradict	42	
contribute with	42	
empirically investigate	42	
find subject in	42	
forge	42	
have change in	42	
have gain	42	
high proportion of be	42	
ideological goal of	42	
instead tend	42	
invoke	42	
isolate from	42	
lead in	42	
neglect	42	
new insight on	42	
often challenge	42	
point	42	
provide government with	42	
provide solution to	42	
refer as	42	
relative to	42	
share of	42	
should produce	42	
view of	42	
will come	42	
will hardly come	42	
access	41	
assign	41	
be aim at	41	
be compilation of	41	
be define in	41	
be feature of	41	
be function of	41	
be know about	41	
be limit by	41	
be pay to	41	
be promote	41	
break	41	
deny	41	
drive by	41	
have establish	41	
lay out	41	
manipulate	41	
measure by	41	
motivation for	41	
remain for	41	
seal circle with	41	
stand at	41	
stem	41	
still know	41	
text	41	
thus identify	41	
underlie	41	
action guide principle for	40	
also illustrate conflict	40	
altogether synthesize	40	
assert	40	
availability of	40	
be deal	40	
be efficient treatment of	40	
be increasingly play	40	
be key figure in	40	
be matter of	40	
be observe with	40	
be one	40	
be optimize for	40	
be perceive	40	
be principally motivate	40	
be secularize version of	40	
be test in	40	
be treatment of	40	
be very different	40	
bring group from	40	
clearer action guide principle for	40	
clearer guide principle for	40	
clearer principle for	40	
consequently pose	40	
date to	40	
decrease with	40	
deepen	40	
do provide	40	
draw elucidate use as	40	
earn income	40	
ecosystem of	40	
eine	40	
elucidate use as	40	
emphasis of be	40	
gather	40	
go green	40	
group of	40	
guide principle for	40	
have effect in	40	
have observe	40	
have observe however	40	
have open for	40	
have range from	40	
have start	40	
have to	40	
however be inadequate for	40	
illustrate conflict	40	
murky ecosystem of	40	
often utilize	40	
open door to	40	
present taxonomy	40	
regard as	40	
rehearse idea	40	
rely in	40	
remain on	40	
should look past	40	
support by	40	
taxonomy	40	
underpin	40	
work on	40	
amount to	39	
be associate	39	
be common in	39	
be conducive to	39	
be demand	39	
be find by	39	
be key	39	
be set	39	
be similar in	39	
become on	39	
can act as	39	
can cause	39	
control half by	39	
create by	39	
definition of	39	
develop by	39	
equate	39	
explain in	39	
face by	39	
factor	39	
fit	39	
foment	39	
policy	39	
sketch	39	
task	39	
adopt code in	38	
ascertain	38	
be analysis of	38	
be aware of	38	
be capable of	38	
be derive from	38	
be describe	38	
be efficient	38	
be explain in	38	
be explore along	38	
be facilitate by	38	
be high	38	
be provide by	38	
be strongly influence by	38	
behavior of	38	
change from	38	
classify	38	
commitment to	38	
cope with	38	
devote	38	
embeddedness in	38	
function	38	
have receive	38	
have remain despite	38	
have structure	38	
implementation of	38	
invest in	38	
lead generally to	38	
lead more generally to	38	
make by	38	
must take	38	
operate	38	
outweigh	38	
positive effect on	38	
presence of	38	
rely exchange rate on	38	
reveal life	38	
role of be	38	
second population	38	
significantly challenge	38	
signify	38	
source of	38	
suggest in	38	
thus contribute to	38	
vary across	38	
visit	38	
vote	38	
will look	38	
address question in	37	
aim to	37	
argue against	37	
basis for	37	
be around	37	
be best example of	37	
be construct in	37	
be evident in	37	
be greater than	37	
be illustrate with	37	
be implement in	37	
be intend	37	
be isolate from	37	
be one of	37	
can achieve	37	
can enrich debate	37	
compare with	37	
comparison of	37	
debate	37	
discover	37	
do promote	37	
emerge with	37	
fail in	37	
flow in	37	
formation of	37	
group	37	
grow	37	
have decrease	37	
have dominate	37	
have dramatically decrease	37	
have explore	37	
have give	37	
have introduce	37	
have investigate	37	
link to	37	
narrow	37	
need in	37	
originate from	37	
provide analysis	37	
resettle migrant on	37	
restrict	37	
run	37	
same time	37	
seek input	37	
settle in	37	
stand	37	
theory of	37	
verify	37	
willingness	37	
would suggest	37	
accordingly regain importance	36	
address issue from	36	
attribute	36	
be aim for	36	
be coincide	36	
be conduct in	36	
be describe during	36	
be evident	36	
be face with	36	
be launch with	36	
be link with	36	
be make into	36	
be not only part of	36	
be obtain by	36	
be only part of	36	
be place inside	36	
be positively associate as	36	
be situate as	36	
be situate within	36	
be something	36	
be test for	36	
be usually cause by	36	
be vital to	36	
can demand	36	
condition	36	
consolidate	36	
decrease linearly	36	
defect in	36	
development in	36	
difficulty in	36	
diffuse from	36	
do attract	36	
expect from	36	
exposure to	36	
express in	36	
forge intelligence bureaucracy into	36	
form w tiox taox w structure	36	
frame news with	36	
function of	36	
further development of	36	
go on	36	
guarantee	36	
have assess	36	
have become with	36	
have cope in	36	
have reach conclusion as	36	
have successfully cope in	36	
intermediation of be	36	
issue consider	36	
language of be	36	
largely emphasize	36	
lead by	36	
lead either to	36	
move from	36	
must play role	36	
must rethink	36	
often regard as	36	
organize	36	
parallel to	36	
pave	36	
promote communication	36	
regain importance	36	
regularity of be	36	
rely	36	
respond eagerly to	36	
retain advantage as	36	
secondly be test	36	
stress together	36	
take income as	36	
therefore be coincide	36	
therefore have	36	
usually paint	36	
utilise	36	
vary with	36	
view non-racialism	36	
warn of	36	
whichi	36	
work against	36	
also underline	35	
appear on	35	
as	35	
be anticipate	35	
be appoint by	35	
be define	35	
be factor in	35	
be likely in	35	
be make in	35	
be obtain from	35	
be present here	35	
be publish	35	
be regulate by	35	
be study for	35	
bring to	35	
claim	35	
encounter advantage in	35	
examine thesis in	35	
gain from	35	
have decline	35	
have rely on	35	
have succeed in	35	
here provide	35	
indicate by	35	
market	35	
meanwhile display	35	
mimic	35	
moreover have	35	
notion of	35	
overall remain	35	
perception of	35	
provide for	35	
scale	35	
seem in	35	
select for	35	
show by	35	
sponsor	35	
update	35	
will contribute to	35	
work for	35	
actual problem of	34	
also assess	34	
also show	34	
be concerned with	34	
be crucial	34	
be discuss along	34	
be dominate by	34	
be enhance by	34	
be highly demand	34	
be highly influence by	34	
be investigate in	34	
be low	34	
be make by	34	
be subject in	34	
be take from	34	
be unique in	34	
be widely think	34	
beaumont	34	
brief description of	34	
characterise	34	
close link due	34	
conform to	34	
continue for	34	
dimension of be	34	
emanate from	34	
eschew	34	
examination of	34	
examine in	34	
extract	34	
find difference	34	
have hand despite	34	
industry	34	
investigate sovereignty base	34	
link due	34	
literature	34	
majority of	34	
may contribute to	34	
nevertheless have	34	
ostensibly close link due	34	
posit	34	
practice	34	
present comment in	34	
present illustration after	34	
prison	34	
resemble	34	
restore	34	
second be think	34	
second be widely think	34	
span	34	
spearhead	34	
struggle	34	
take issue with	34	
thereby increase	34	
thus favour	34	
validate	34	
apply in	33	
be achieve	33	
be connect with	33	
be identify as	33	
be lower than	33	
be source for	33	
be understand in	33	
be within	33	
block	33	
can use	33	
close	33	
condemn	33	
destroy	33	
embed in	33	
evaluate impact in	33	
feasibility of	33	
ground in	33	
have attract	33	
have maintain	33	
have usually make	33	
loss of	33	
migration with	33	
order	33	
positively affect	33	
produce by	33	
renew debate	33	
response to	33	
sacrament for	33	
should focus on	33	
show serotype from	33	
state of	33	
suddenly become	33	
weave	33	
work with	33	
ability of	32	
abundance of be	32	
additionally occur	32	
advance in	32	
aim on	32	
also affect	32	
also contest	32	
also stress	32	
argue by	32	
be along	32	
be already isolate	32	
be already isolate early	32	
be aspect	32	
be blend of	32	
be brake	32	
be commit to	32	
be complete	32	
be construction of	32	
be cope in	32	
be deal with	32	
be describe as	32	
be discuss	32	
be discuss with	32	
