"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"Ohms Law","Ohms Law","WORK_OF_ART",NULL,"appear",NULL,"between 1910 and 1914","between 1910 and 1914","DATE","The essays of Canon: ""Cundiman,"" ""Kuriapi,"" ""Kawit,"" ""Fire-resistant roofs for light materials,"" ""Ohms Law,"" and ""Practical Memories"" appeared in Cultura Filipina, a monthly arts and science magazine in the Philippines, between 1910 and 1914."
"two years later","two years later","DATE",NULL,"receive",NULL,"the year 2000","the year 2000","DATE","Chokshi received the Swarnajayanti Young Scientist Award from the President of India in 1998 and two years later, the Materials Research Society of India awarded him the MRSI Medal for the year 2000."
"companion","http://www.wikidata.org/entity/Q5155473","Profession",NULL,"rejoin",NULL,"master","http://www.wikidata.org/entity/Q96678236","Award","They are rejoined by former companion Captain Jack Harkness (John Barrowman) in a three-episode adventure beginning with ""Utopia"", where presumed-deceased archenemy and fellow Time Lord The Master (John Simm) becomes Prime Minister of the United Kingdom and enslaves The Doctor for one year."
"Alicia","Alicia","PERSON",NULL,"disrupt",NULL,"silver surfer","http://www.wikidata.org/entity/Q2286542","Profession","However, Doom perverts what had been intended by the Puppet Master as a chance to give Alicia and Ben a normal life into a trap, deliberately disrupting Reed's connection to his copy to make it hard for him to concentrate while ""Vincent Vaughn""- Doom's alias as he monitors the project- belittles him, and the Puppet Master eventually helps the FF learn the truth and escape Liddleville while trapping Doom in the android body he had used to monitor the FF.During John Byrne's run in the 1980s, Doom attempted to steal the cosmic powers of Terrax, but Doom's body was destroyed in the resulting fight between Terrax and the Silver Surfer."
"position","http://www.wikidata.org/entity/Q7810129","Award",NULL,"resign",NULL,"Fairbanks","Fairbanks","ORG","According to a Fairbanks reporter, Dermot Cole:He resigned from his faculty position at UAF in December 2006, but continued to pursue his scientific research, and was a key scientist in an ongoing study of king salmon at the time of his death."
"Mauritius","Mauritius","GPE",NULL,"base",NULL,"Nambiar","Nambiar","ORG","In February 1995, Nambiar under the aegis of KPP Nambiar Associates and its Mauritius based subsidiary Kortech Corporation (with a 24% stake) launched an INR 1471 Crore Naphtha based power project to generate 513 megawatts of electricity under the name of Kannur Power Projects in his native Panchayat of Kalliasseri in the Kannur District in Kerala."
"russia","http://www.wikidata.org/entity/Q159","Country",NULL,"invest",NULL,"members","http://www.wikidata.org/entity/Q59820617","Award","Later there was a scandal when it emerged that some of the Harvard project members had invested in Russia, and were therefore not impartial advisors."
"university","http://www.wikidata.org/entity/Q917874","Language",NULL,"spend",NULL,"Ph.D.","Ph.D.","WORK_OF_ART","He received his B.S., M.S., and Ph.D. degrees from California Institute of Technology, and spent most of his further academic career at Harvard University."
"award","http://www.wikidata.org/entity/Q66744316","Award",NULL,"take",NULL,"associate professor","http://www.wikidata.org/entity/Q19973878","Award","After working as an associate professor at Columbia University, he then took a position at the University of Texas at Dallas, at which time he was increasingly active in the M&amp;SOM research community, receiving the M&amp;SOM Meritorious Services Award in both 2011 and 2012."
"""In appreciation""","""In appreciation""","WORK_OF_ART",NULL,"note",NULL,"Herman P. Meissner","Herman P. Meissner","PERSON","As Herman P. Meissner notes in his article ""In appreciation"", ""Edward W. Merrill entered Harvard in 1941 to study the classics with emphasis on the contributions from the Greek authors."
"Baton Rouge","Baton Rouge","GPE",NULL,"bear",NULL,"french","http://www.wikidata.org/entity/Q150","Language","Her father was of French heritage and was born in Baton Rouge, Louisiana, coming to El Salvador at the age of eleven in 1869."
"specialist","http://www.wikidata.org/entity/Q2376292","Award",NULL,"fly",NULL,"November 5, 1995","November 5, 1995","DATE","Leslie flew as a payload specialist on STS-73 launched on October 20, 1995 and landed at the Kennedy Space Center on November 5, 1995."
"Swansea","Swansea","GPE",NULL,"grant",NULL,"Wales","Wales","GPE","He also was granted honorary doctorates from the Council for National Academic Awards and the Universities of Bath, Reading, Salford, Surrey and Wales, and was honorary Fellow of Manchester Polytechnic, Polytechnic of Wales, St Edmund Hall, Oxford, Swansea, Institute of Quality Assurance and the Institute of Electrical and Radio Engineers."
"Bernice Summerfield","Bernice Summerfield","PERSON",NULL,"reunite",NULL,"September 2015","September 2015","DATE","The next wave was released in September 2015, with the stories of ""Deep Time"", ""Royal Blood"" and ""Big Bang Generation""; the first two of these also feature the Twelfth Doctor and Clara, while ""Big Bang Generation"" sees the Twelfth Doctor reunited with the Seventh Doctor's Virgin New Adventures companion Bernice Summerfield."
"academic","http://www.wikidata.org/entity/Q3400985","Profession",NULL,"edit",NULL,"Bristol: Routledge/Thoemmes Press","Bristol: Routledge/Thoemmes Press","ORG","Groom is a critically acclaimed author, has edited several books including four Gothic novels for Oxford University Press and a twelve volume edition of ""The Plays of William Shakespeare"" (London and Bristol: Routledge/Thoemmes Press, 1995), has contributed over seventy chapters and articles to edited collections and academic journals and has regularly reviewed books for The Financial Times, Times Higher Education and The Independent."
"directors","http://www.wikidata.org/entity/Q2824523","Profession",NULL,"reprimand",NULL,"formerly","http://www.wikidata.org/entity/Q869","Country","In June 2006, it was reported that the scientific director of the (formerly) Debye Institute had been reprimanded by the Board of Directors of the University of Utrecht for a new publication on Debye's war years on the grounds that it was too personally biased with respect to the Institute's naming dispute."
"July 24, 1952","July 24, 1952","DATE",NULL,"bear",NULL,"Atlantic","Atlantic","LOC","Konstantin Igorevich Pozdniakov (born July 24, 1952, Leningrad, USSR) is a Russian-French linguist who works on the comparative-historical linguistics of the Mande, Atlantic, and Niger-Congo families."
"Zurich","Zurich","GPE",NULL,"return",NULL,"einstein","http://www.wikidata.org/entity/Q937","Person","After Vienna, Einstein visited relatives in Germany while Maric returned to Zurich."
"Valeria","Valeria","PERSON",NULL,"gather",NULL,"Fantastic","Fantastic","PERSON","Doctor Doom and Mister Fantastic later had the Future Foundation members gather the other geniuses to attend a symposium on how to defeat the ""Council of Reeds"" (alternate versions of Mister Fantastic who were trapped in this universe by Valeria a while back, possessing Reed's intellect while lacking his conscience)."
"Iranian","Iranian","NORP",NULL,"death","date of death","Mahmud","Mahmud","PERSON","During the brief occupation of Isfahan by the Ghaznavids in January 1030, Avicenna and Ala al-Dawla relocated to the southwestern Iranian region of Khuzistan, where they stayed until the death of the Ghaznavid ruler Mahmud (), which occurred two months later."
"Catholic","Catholic","NORP",NULL,"slate",NULL,"swiss","http://www.wikidata.org/entity/Q39","Country","Originally slated to serve as the Swiss delegate, Secretary-General Eric Drummond was persuaded by Catholic activists Oskar Halecki and Giuseppe Motta to instead have him become the German delegate, thus allowing Gonzague de Reynold to take the Swiss spot, from which he promoted traditionalist Catholic values."
"20162017","20162017","DATE",NULL,"become",NULL,"the Promise Armenian Institute","the Promise Armenian Institute","ORG","She served as interim vice chancellor for research for 20162017, and became the inaugural director of the Promise Armenian Institute in 2020."
"Italy","Italy","GPE",NULL,"adopt",NULL,"Germany","Germany","GPE","It received several different names, according to the country where it was adopted: mass radiography, miniature chest radiograph (United Kingdom and United States), roentgenfluorography (Germany), radiophotography (France), schermografia (Italy), photoradioscopy (Spain) and photofluorography (Sweden)."
"gold medal","http://www.wikidata.org/entity/Q15243387","Award",NULL,"Award",NULL,"science award","http://www.wikidata.org/entity/Q11448906","Award","Glass is also the recipient of the Albert B. Sabin Gold Medal, Georgetown Universitys Cura Personalis Award, Research!Americas Geoffrey Beene Builders of Science Award, Rice Universitys Rice 360 Institute for Global Health Award, and the Jimmy and Rosalynn Carter Humanitarian Award from the National Foundation for Infectious Diseases."
"investigator","http://www.wikidata.org/entity/Q1650915","Profession",NULL,"receive",NULL,"Northwestern University","Northwestern University","ORG","She is a professor of Materials Science and Engineering at Northwestern University, Illinois, USA.Haile received the National Science Foundation National Young Investigator Award (199499), Humboldt Fellowship (199293), Fulbright Fellowship (199192), and AT&amp;T Cooperative Research Fellowship (198692)."
"wilkes","http://www.wikidata.org/entity/Q119329","Person",NULL,"member of","member of","the 1820s","the 1820s","DATE","During the 1820s, Wilkes was a member of the prestigious Columbian Institute for the Promotion of Arts and Sciences, which counted among its members presidents Andrew Jackson and John Quincy Adams and many prominent men of the day, including well-known representatives of the military, government service, medical and other professions."
"doctor doom","http://www.wikidata.org/entity/Q3336797","Person",NULL,"bond",NULL,"Extremis","Extremis","PRODUCT","During the ""King in Black"" storyline, Doctor Doom confronts Iron Man during Knull's invasion at the time when Iron Man was bonded with an Extremis-powered Symbiote."
"Ben Stephenson","Ben Stephenson","PERSON",NULL,"say",NULL,"months","months","DATE","Ben Stephenson, the BBC's drama commissioner, said that Capaldi was suggested months before the August revelation and that a secret audition was held at Moffat's home."
"engineers","http://www.wikidata.org/entity/Q81096","Profession",NULL,"receive",NULL,"a Searle Scholar","a Searle Scholar","WORK_OF_ART","Morrison was a Searle Scholar (2000-2003), and received the Presidential Early Career Award for Scientists and Engineers (2003), the International Society for Hematology and Stem Cells McCulloch and Till Award (2007), the American Association of Anatomists Harland Mossman Award (2008), and a MERIT Award from the National Institute on Aging (2009)."
"leopold","http://www.wikidata.org/entity/Q1767199","Award",NULL,"die on",NULL,"Philippe d'Auvergne","Philippe d'Auvergne","PERSON","Jacques Leopold died on 3 March 1802 without issue, and Philippe d'Auvergne used the full title and dignity of Duke after this date."
"Weill Cornell Medicine","Weill Cornell Medicine","ORG",NULL,"leave",NULL,"Science","Science","WORK_OF_ART","He left the Jones Institute in 2004 to become research director of reproductive biology at Weill Cornell Medicine, where his wife was on the faculty; part of the reason why Gosden left the institute was negative public opinion and criticism due to its creation in 2001 of an embryonic stem cell line, as was noted in a report in the journal, ""Science""."
"fellow","http://www.wikidata.org/entity/Q1404101","Award",NULL,"elect",NULL,"fellow of the british academy","http://www.wikidata.org/entity/Q27988727","Award","She was elected a Fellow of the Royal Society of Literature (FRSL) in 1997, and a Senior Fellow of the British Academy (FBA) in 2006."
"position","http://www.wikidata.org/entity/Q7810129","Award",NULL,"take",NULL,"Horvitz","Horvitz","PERSON","In 1974, Horvitz took a postdoctoral position at the Laboratory of Molecular Biology (LMB) in Cambridge, England, where he worked with his future Nobel prize co-winners Sydney Brenner and John Sulston on the genetics and cell lineage of ""C. elegans""."
"Superman","Superman","PERSON",NULL,"break",NULL,"doctor manhattan","http://www.wikidata.org/entity/Q2519257","Person","Giganta was with Black Adam's group when the People's Heroes, the Outsiders, and the Doomed tried to get to Superman and gets into an all-out battle with them until it is broken up when Doctor Manhattan undoes the experiment that erased the Justice Society of America and the Legion of Super-Heroes."
"Renato Migliorini","Renato Migliorini","PERSON",NULL,"marry",NULL,"Emilia Blat Migliorini","Emilia Blat Migliorini","PERSON","In his personal life, Renato Migliorini was married since 1953 with Emilia Blat Migliorini."
"the Bioscience Group","the Bioscience Group","ORG",NULL,"head",NULL,"the Immunology Section","the Immunology Section","ORG","Returning to BARC, he served in many positions, heading the Immunology Section and the Cell Biology Division and serving as the associate director of the Bioscience Group."
"a Bachelor of Science degree","a Bachelor of Science degree","WORK_OF_ART",NULL,"receive",NULL,"Gilruth","Gilruth","PERSON","Gilruth received a Bachelor of Science degree in Aeronautical Engineering at the University of Minnesota in 1935, and received his Master of Science degree in 1936."
"secretary","http://www.wikidata.org/entity/Q5155576","Profession",NULL,"become",NULL,"the Central University","the Central University","ORG","He was founder and director of the Institute of Medical Research at the Central University, and in 1958 he also became the Secretary General of the Venezuelan Association for the Advancement of Science."
"the academy","http://www.wikidata.org/entity/Q3233780","Academia of Science",NULL,"aim",NULL,"Tan-Bogoraz","Tan-Bogoraz","PERSON","In 1899, by recommendation of the Academy of Sciences, Bogoraz was invited by New York City's American Museum of Natural History for the Jesup North Pacific Expedition (19001901) aimed at studying the ethnography, anthropology and archaeology of the Northern coasts of the Pacific Ocean, where Tan-Bogoraz and his friend Vladimir Jochelson were in charge of the Anadyr region of Siberia, gathering materials for ethnographic studies of Chukchi, Koryaks, Lamuts and other indigenous Siberian peoples."
"Spanish","Spanish","NORP",NULL,"write",NULL,"Finite Elements for Electrical Engineering","Finite Elements for Electrical Engineering","WORK_OF_ART","His book, Finite Elements for Electrical Engineering, written with Ron Ferrari, has been the only textbook on this specific topic for many years, and it has been translated into many languages, among which are Russian, Chinese, Japanese, and Spanish."
"faith","http://www.wikidata.org/entity/Q109335991","Belief",NULL,"argue",NULL,"Meyer","Meyer","PERSON","Meyer argued that modern scientific method equally relied on ""foundational assumptions"" based on faith in naturalism, which ""assumed all events to be exclusively the result of physical or natural causes"", so on the definition used in the court cases ""science itself does not qualify as legitimate science""."
"director","http://www.wikidata.org/entity/Q3387717","Profession",NULL,"serve",NULL,"pastor","http://www.wikidata.org/entity/Q352507","Profession","Beginning his career as a pastor, Young was an early leader in the civil rights movement, serving as executive director of the Southern Christian Leadership Conference (SCLC) and a close confidant to Martin Luther King Jr."
"geologist","http://www.wikidata.org/entity/Q520549","Profession",NULL,"make",NULL,"United States","United States","GPE","Rhea Lydia Graham (born August 11, 1952) is an American retired geologist with a background in environmental consulting and engineering geology and was made the first woman as well as African-American director of the United States Bureau of Mines by President Bill Clinton and the United States Senate in 1994."
"Kahimi Karie","Kahimi Karie","PERSON",NULL,"fall",NULL,"Lazlo Valentin","Lazlo Valentin","PERSON","Morrison took the name ""Professor Pig"" from the song ""Pygmalism"" by Momus and Kahimi Karie; the name ""Pyg"" is also being shorthand for ""Pygmalion"", referring both to the mythical sculptor who fell in love with his own creation and the 1913 stage play, both of which serving as parallels for Lazlo Valentin and his love for his Dollotron creations."
"university","http://www.wikidata.org/entity/Q917874","Language",NULL,"conduct",NULL,"Corpuz","Corpuz","PERSON","Dr. Corpuz conducted research at the United States Library of Congress, the Widener &amp; Houghton Libraries at Harvard University, the New York Public Library, the British Museum Library, and the Archivo General delas Indias in Sevilla, Spain."
"Napoleon","Napoleon","PERSON",NULL,"defeat",NULL,"""One Hundred Days""","""One Hundred Days""","WORK_OF_ART","This was only to last for ""One Hundred Days"" before Napoleon was defeated, but Constant's work nevertheless provided a means of reconciling monarchy with liberty."
"occupation","http://www.wikidata.org/entity/Q11773926","Award",NULL,"utilize",NULL,"Palestinian","Palestinian","NORP","In December 2009, Sabeel endorsed the Kairos Palestine Document (KPD), which calls on Christians throughout the world to join the 2005 call of Palestinian civil society to utilize boycotts, divestment, and sanctions to pressure Israel's government to end occupation, human rights violations, and illegal settlement of Palestinian land."
"science award","http://www.wikidata.org/entity/Q7183969","Award",NULL,"award","award received","the Russian Orthodox Church","the Russian Orthodox Church","ORG","Because of this, some Orthodox Christian groups denounced him and said no science award could excuse his verbal attacks on the Russian Orthodox Church."
"Pentateuch","Pentateuch","WORK_OF_ART",NULL,"explain",NULL,"Tanakh","Tanakh","PERSON","After work, Schenirer stayed up late to study the weekly Torah portion and Tanakh in Yiddish translation:The lessons at her schools consisted of explaining in simple terms to the students the meeting of the chumash (Pentateuch), and some other sections of Tanakh, and of instilling pride of being Orthodox in the students, through song, plays, and dancing."
"scout","http://www.wikidata.org/entity/Q1339677","Profession",NULL,"serve",NULL,"Drifting Dunes Girl Scout Council Inc","Drifting Dunes Girl Scout Council Inc","ORG","Lynch's mother was a Girl Scout and served as the chief executive officer of Drifting Dunes Girl Scout Council Inc, and was a zoology major who wanted to be a veterinarian."
"India","India","GPE",NULL,"continue",NULL,"LVPEI","LVPEI","ORG","On his return to India, he continued to work with L. V. Prasad Eye Institute (LVPEI) where he strengthened the Department of Ophthalmic Plastic Surgery and founded ""Ocular Oncology Service"", the first facility for ocular oncology in India."
"Niederhauser","Niederhauser","PERSON",NULL,"work","occupation","the 1960s","the 1960s","DATE","In the 1960s Niederhauser worked at MAP, occupied with the ""Phytophthora infestans"" situation in Central Mexico."
"Donald Prothero","Donald Prothero","PERSON",NULL,"publish",NULL,"The Skeptics Society","The Skeptics Society","ORG","In a review published by The Skeptics Society titled ""Stephen Meyer's Fumbling Bumbling Amateur Cambrian Follies"", paleontologist Donald Prothero gave a highly negative review of Meyer's book."
"emperor","http://www.wikidata.org/entity/Q39018","Profession",NULL,"stop",NULL,"professor","http://www.wikidata.org/entity/Q37226","Profession","She implores the professor to stop her mad brother, Shi'ar Emperor D'Ken, and he instantly aids her by deploying his X-Men."
"vilnius university","http://www.wikidata.org/entity/Q658192","Language",NULL,"receive",NULL,"synthesis","http://www.wikidata.org/entity/Q48612","Language","He collaborated with Elmar Weinhold from RWTH Aachen University and learned chemical synthesis and received his PhD in biochemistry at Vilnius University, Lithuania in September 2007."
"Yavniel","Yavniel","PERSON",NULL,"teach",NULL,"the Beit Hakerem Seminar","the Beit Hakerem Seminar","EVENT","After earning a degree in education from the Beit Hakerem Seminar in Jerusalem, Yizhar taught in Yavniel, Ben Shemen, Hulda, and Rehovot."
"secretary","http://www.wikidata.org/entity/Q80687","Profession",NULL,"range",NULL,"Liz Allan","Liz Allan","PERSON","Peter Parker's romantic interests range between his first crush, fellow high-school student Liz Allan, to having his first date with Betty Brant, secretary to the ""Daily Bugle"" newspaper publisher J. Jonah Jameson."
"April 9, 1994","April 9, 1994","DATE",NULL,"publish",NULL,"Sergent","Sergent","ORG","One of these letters was received by the ""Montreal Gazette"" and on April 9, 1994, they published an article on Sergent's 1993 reprimand."
"central","http://www.wikidata.org/entity/Q7895252","Language",NULL,"member of","member of","the International Association of Meteorology","the International Association of Meteorology","ORG","He was a member of the commission on global pollution of the International Association of Meteorology, and scientific director of the Central CO2 Calibration Laboratory of the World Meteorological Organization."
"7 February","7 February","DATE",NULL,"issue",NULL,"officers","http://www.wikidata.org/entity/Q384593","Profession","On 7 February, Luna issued a detailed order to the field officers of the territorial militia."
"award","http://www.wikidata.org/entity/Q66744316","Award",NULL,"receive",NULL,"Colorado","Colorado","GPE","During her years of retirement, she pursued a second career as a public health activist in Colorado, and in 1951 received the Albert Lasker Public Service Award for this work."
"advisor","http://www.wikidata.org/entity/Q2994387","Profession",NULL,"establish",NULL,"Massey","Massey","PERSON","Massey was also founding chairman of the National Society of Black Physicists, an organization established to promote the professional development of black physicists and enhance the number of African Americans entering the field of physics, and an advisor for the formation of the Society of Black Physics Graduate Students."
"the us","http://www.wikidata.org/entity/Q738258","Language",NULL,"commemorate",NULL,"official","http://www.wikidata.org/entity/Q716711","Profession","In 2006, Thatcher attended the official Washington, D.C. memorial service to commemorate the fifth anniversary of the 11 September attacks on the US."
"Vivian Fuchs","Vivian Fuchs","PERSON",NULL,"succeed",NULL,"director","http://www.wikidata.org/entity/Q2493761","Profession","He succeeded Vivian Fuchs as BAS Director in 1973, a post he held until retirement in May 1987."
"award","http://www.wikidata.org/entity/Q66744316","Award",NULL,"receive",NULL,"professionals","http://www.wikidata.org/entity/Q1391344","Profession","Among other accolades, she has received the Best Female Executive Award from the Spanish Federation of Female Directors Executives, Professionals and Entrepreneurs(FEDEPE), Executive of the Year from the Asociacion Espanola de Directivos (AED) and Female Executive of the Year from the Spanish Association of Women Entrepreneurs(ASEME)."
"stand-up comedian","http://www.wikidata.org/entity/Q18545066","Profession",NULL,"begin",NULL,"Billy Crystal's","Billy Crystal's","PERSON","He began his career as a stand-up comedian, first entering the national spotlight when he was featured on Billy Crystal's first cable TV special."
"Barbara Gordon","Barbara Gordon","PERSON",NULL,"ingest",NULL,"man-bat","http://www.wikidata.org/entity/Q1471053","Person","He is being held by Barbara Gordon who has kept herself alive by ingesting the Man-Bat serum."
"Cataclysm","Cataclysm","WORK_OF_ART",NULL,"reveal",NULL,"Danny Ketch","Danny Ketch","PERSON","Following the events of ""Cataclysm"", Phil Coulson and Danny Ketch reveal that the real Victor (who once again has his goat-hooved legs) was being held captive by S.H.I.E.L.D. before it disbanded."
"Marangoni","Marangoni","GPE",NULL,"pioneer",NULL,"Fellowship","Fellowship","ORG","Commenting on the Fellowship, the University of Cambridge stated that he had pioneered developments in fluid mechanics, including the first asymptotic analysis of viscous flow past a cylinder, a rapid-distortion theory of turbulence and studies of Marangoni convection, and the instability of flow under rollers."
"the United Kingdom","the United Kingdom","GPE",NULL,"return",NULL,"Alexander","Alexander","PERSON","At the outbreak of the Second World War Prince Alexander and his family were in France and unable to return to the United Kingdom so he was taken to Rome first and then on to Czechoslovakia which resulted in the family almost being repatriated to Russia."
"Vanessa","Vanessa","PERSON",NULL,"wake",NULL,"Psycho","Psycho","PERSON","As Doctor Carne, Psycho told Wonder Woman that when Vanessa woke from her comatose state that he would be there for her."
"the United Kingdom","the United Kingdom","GPE",NULL,"resurrect",NULL,"britain","http://www.wikidata.org/entity/Q145","Country","Captain Britain was once again resurrected by Merlin in the center of Britain, and after taking possession of the sword Excalibur, confronted the Skrulls in London; his resurrected form is stated by Merlin to be no longer plagued with doubts and a unified symbol of the United Kingdom, ""like their flag, one thing that contains many!"""
"MongeAmpere","MongeAmpere","LOC",NULL,"study",NULL,"Calabi","Calabi","NORP","In 1978, by studying the complex MongeAmpere equation, Yau resolved the Calabi conjecture, which had been posed by Eugenio Calabi in 1954."
"Clynes","Clynes","PERSON",NULL,"fly",NULL,"Hewlett Packard","Hewlett Packard","ORG","Two vice presidents from Hewlett Packard flew separately to Clynes' home to learn about his findings."
