"ent_str","ent_id","ent_type","count"
"methanol","Methanol","Excipient",75
"gastric cancer","MESH:D013274","Disease",75
"immunosuppression","MESH:D007165","Method",74
"respondents","MESH:D011795","Method",74
"bv","MESH:D016585","Disease",74
"HGF","3082","Gene",74
"pneumoniae","MESH:D011014","Disease",74
"multiple sclerosis","MESH:D009103","Disease",74
"LPS","MESH:C536528","Disease",74
"dissociation","MESH:D004213","Disease",74
"sle","MESH:D008180","Disease",74
"poisoning","MESH:D011041","Disease",74
"mets","MESH:D024821","Disease",74
"magnetic resonance imaging","MESH:D008279","Method",73
"rheumatoid arthritis","MESH:D001172","Disease",73
"western blotting","MESH:D015153","LabMethod",73
"arginine","CHEMBL1485","Excipient",73
"biopsies","MESH:D001706","LabMethod",73
"cad","MESH:D003324","Disease",73
"PD","MESH:D010300","Disease",73
"AKT","207","Gene",73
"5-fu","CHEMBL185","Chemical",73
"als","MESH:D000690","Disease",73
"catheter","MESH:D057785","Method",73
"ad","MESH:D003876","Disease",72
"caffeine","CHEMBL113","Excipient",72
"iodine","CHEMBL1201225","Chemical",72
"Patient","9606","Species",72
"da","CHEMBL59","Chemical",72
"all","MESH:D054198","Disease",72
"gene therapy","MESH:D015316","Method",72
"headache","MESH:D006261","Disease",72
"regression analysis","MESH:D012044","Method",71
"IL-1beta","3553","Gene",71
"colon cancer","MESH:D003110","Disease",70
"hypertensive","MESH:D006973","Disease",70
"aldosterone","CHEMBL273453","Chemical",70
"HIV","12721","Species",70
"surfactant","Surfactants","Excipient",70
"intensive care","MESH:D003422","Method",70
"horses","9796","Species",70
"sulfate","Sulfate","Chemical",69
"guinea pig","10141","Species",69
"vomiting","MESH:D014839","Disease",69
"silica","Silica","Excipient",69
"polymers","Polymers","Excipient",69
"ards","MESH:D012128","Disease",69
"powder","MESH:D011208","DosageForm",69
"Pseudomonas aeruginosa","287","Species",68
"chicken","9031","Species",68
"dr","MESH:D003930","Disease",68
"thrombin","CHEMBL2108110","Chemical",67
"sugar","Sugar","Excipient",67
"sugar","Sugars","Excipient",67
"pcos","MESH:D011085","Disease",67
"lambda","CHEMBL1909302","Drug",67
"scc","MESH:D002294","Disease",67
"adenosine","CHEMBL477","Chemical",67
"soybean","3847","Species",66
"osteoporosis","MESH:D010024","Disease",66
"5-fluorouracil","CHEMBL185","Chemical",66
"pulse","MESH:D011674","Method",66
"COPD","MESH:D029424","Disease",66
"hypertrophy","MESH:D006984","Disease",66
"wheat","4565","Species",66
"IL-10","3586","Gene",65
"nsclc","MESH:D002289","Disease",65
"Mice","10090","Species",65
"P. aeruginosa","287","Species",65
"visual acuity","MESH:D014792","Method",65
"radiation therapy","MESH:D011878","Method",65
"EBV","10376","Species",64
"cats","9685","Species",64
"thrombin","2147","Gene",64
"IFN-gamma","15978","Gene",64
"infarct","MESH:D007238","Disease",63
"angiotensin ii","CHEMBL2392353","Drug",63
"cd","CHEMBL2074977","Chemical",63
"sulfur","CHEMBL2105487","Excipient",63
"angiotensin ii","CHEMBL2392353","Chemical",63
"registry","MESH:D012042","Method",63
"IL-8","3576","Gene",63
"angiotensin","CHEMBL2391146","Chemical",63
"survival rate","MESH:D015996","Method",63
"hemorrhage","MESH:D006470","Disease",63
"angiotensin ii","CHEMBL408403","Chemical",63
"seizure","MESH:D012640","Disease",63
"body mass index","MESH:D015992","Method",63
"syndromes","MESH:D013577","Disease",63
"crp","Proteins","Excipient",62
"melatonin","CHEMBL45","Chemical",62
"mri","MESH:D008279","Method",62
"ldl","Lipoproteins","Excipient",62
"psa","MESH:D015535","Disease",62
"SLE","MESH:D008180","Disease",62
"bph","MESH:D011470","Disease",62
"glaucoma","MESH:D005901","Disease",62
"leptin","Leptin","Chemical",62
"silver","CHEMBL1230866","Chemical",61
"HBV","10407","Species",61
"prospective study","MESH:D011446","Method",61
"bd","MESH:D001528","Disease",61
"fracture","MESH:D050723","Disease",61
"escc","MESH:D000077277","Disease",61
"suspension","MESH:D013535","DosageForm",61
"TNF-alpha","24835","Gene",61
"cough","MESH:D003371","Disease",61
"bc","MESH:D001943","Disease",61
"arsenic","CHEMBL1231052","Drug",61
"diazepam","CHEMBL12","Drug",61
"colon cancer","MESH:D015179","Disease",61
"GVHD","MESH:D006086","Disease",61
"cadmium","CHEMBL2074977","Chemical",61
"flavonoids","CHEMBL3182320","Drug",60
"chloride","Chloride","Chemical",60
"reperfusion","MESH:D015424","Method",60
"retrospective study","MESH:D012189","Method",60
"cyclophosphamide","CHEMBL88","Drug",60
"multivariate analysis","MESH:D015999","Method",60
"transfection","MESH:D014162","Method",60
"E-cadherin","999","Gene",60
"cyclophosphamide","CHEMBL1200796","Drug",60
"glutamine","CHEMBL930","Chemical",60
"aml","MESH:D015470","Disease",60
"canine","9615","Species",60
"multiple myeloma","MESH:D009101","Disease",60
"phospholipid","CHEMBL4298065","Excipient",60
"metabolic syndrome","MESH:D008659","Disease",60
"cyclic amp","CHEMBL316966","Chemical",59
"curcumin","CHEMBL116438","Excipient",59
"tamoxifen","CHEMBL83","Drug",59
"chitosan","Chitosan","Excipient",59
"records","MESH:D011996","Method",59
"alzheimer's disease","MESH:D000544","Disease",59
"infant","9606","Species",58
"tumorigenesis","MESH:D063646","Disease",58
"antioxidants","Antioxidants","Excipient",58
"vitamin e","CHEMBL3989727","Excipient",58
"vitamin e","CHEMBL47","Excipient",58
"immunofluorescence","MESH:D005455","LabMethod",58
"diarrhea","MESH:D003967","Disease",58
"pancreatitis","MESH:D010195","Disease",58
"pancreatic","MESH:D010195","Disease",58
"ulcers","MESH:D014456","Disease",58
"osteosarcoma","MESH:D012516","Disease",58
"cattle","9913","Species",57
"atrial fibrillation","MESH:D001281","Disease",57
"ACE","1636","Gene",57
"liver disease","MESH:D008107","Disease",57
"cardiomyopathy","MESH:D009202","Disease",57
"red blood cells","CHEMBL2108195","Drug",57
"H1N1","114727","Species",57
"cartilage","MESH:D002357","Disease",57
"DM","MESH:D009223","Disease",57
"fractures","MESH:D050723","Disease",57
"influenza","11309","Species",56
"analgesia","MESH:D000699","Disease",56
"indomethacin","CHEMBL6","Drug",56
"tablets","MESH:D013607","DosageForm",56
"x-ray diffraction","MESH:D014961","LabMethod",56
"nausea","MESH:D009325","Disease",56
"tomato","4081","Species",56
"weight gain","MESH:D015430","Disease",55
"cysteine","CHEMBL863","Excipient",55
"cirrhosis","MESH:D005355","Disease",55
"IL-6","16193","Gene",55
"cysteine","CHEMBL54943","Excipient",55
"vitamin","Vitamins","Excipient",55
"thyroid cancer","MESH:D013964","Disease",54
"lp","MESH:D008010","Disease",54
"girls","9606","Species",54
"ipf","MESH:D054990","Disease",54
"progression-free survival","MESH:D000077982","Method",54
"rituximab","CHEMBL1201576","Drug",54
