document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
736,secretary,http://www.wikidata.org/entity/Q5131856,Profession,originally slated,originally slate,swiss,Swiss,NORP,"Originally slated to serve as the Swiss delegate , Secretary - General Eric Drummond was persuaded by Catholic activists Oskar Halecki and Giuseppe Motta to instead have him become the German delegate , thus allowing Gonzague de Reynold to take the Swiss spot , from which he promoted traditionalist Catholic values ."
26564527,doctor,Doctor,WORK_OF_ART,is,be,gallifrey,Gallifrey,PERSON,"Within the series ' narrative , the Doctor is a centuries - old alien Time Lord from the planet Gallifrey who travels in time and space in the TARDIS , frequently with companions ."
19831,major,Major,PERSON,is in,be in,commons,Commons,ORG,"The Conservatives won a 44 - seat majority in the House of Commons , and Thatcher became the first female British prime minister ."
26468275,logan,Logan,PERSON,was,be,windsor,Windsor,GPE,"In 1972 , nearly twenty years before Logan was romantically involved and abducted with Silver Fox at Windsor snow lodge , Professor Thorton experimented on numerous mutants including Sabretooth and Mastodon ."
62912967,olduvai,Olduvai,GPE,gona in,gona in,ethiopia,Ethiopia,GPE,"Toth has conducted archaeological field research and studied the lithic assemblages from Oldowan and Acheulean sites including Olduvai Gorge in Tanzania , Dmanisi in the Republic of Georgia , Gona in Ethiopia , Middle Awash in Ethiopia , Nihewan Basin in China , Lake Natron in Tanzania , Ambrona in Spain , and Koobi Fora in Kenya ."
70631,russian,Russian,LANGUAGE,entice,entice,humboldt,Humboldt,ORG,"The Russians sought to entice Humboldt by engaging his enduring interest in mining sites , for comparative scientific purposes for Humboldt , but for the Russians to gain expert knowledge about their resources ."
36450041,d'auvergne,D'Auvergne,GPE,be duke,be duke,d'auvergne,d'Auvergne,ORG,"D'Auvergne was now known as the Prince of Bouillon , and would be Duke of Bouillon if Jacques Léopold de La Tour d'Auvergne died without issue ."
2012734,floro,Floro,PERSON,contact,contact,green,Green,ORG,"In "" The Saga of the Swamp Thing "" ( vol. 2 ) # 22 ( March 1984 ) , the Floronic Man uses the Swamp Thing 's body — now regressing to a plant - like state due to his inability to accept the new revelation about his origins , Woodrue literally eating parts of him — to contact the Green , which is composed of the life force of all plants on Earth ."
57426599,floronic man,Floronic Man,ORG,discovers,discover,green,Green,ORG,"The Floronic Man returns to the swamp and discovers the Swamp Thing 's connection to the Green , but the experience drives him mad ."
62394085,sauter,Sauter,PERSON,is,be,management scientist,http://www.wikidata.org/entity/Q89000321,Profession,Vicki Lynn Sauter ( born 1955 ) is an American management scientist and systems engineer known for her books on decision support systems .
64568069,hiralal chaudhuri,Hiralal Chaudhuri,PERSON,was,be,21 november 1921,21 November 1921,DATE,"Hiralal Chaudhuri was born on 21 November 1921 in the village of Kubajpur , adjacent to the Surma Valley in Sylhet ( then "" Srihatta "" ) , Assam ( in present - day "" Bangladesh "" ) , British India ."
38551935,macmasters,MacMasters,PERSON,admitted to,admit to,crompton,Crompton,PERSON,"Legend has it that after a half - bottle of whisky , MacMasters admitted to Crompton his sly attempt at cost cutting by sourcing a cheaper metal for his filaments ."
62737100,del rosario,del Rosario,PERSON,was born in,be bear in,philippine,Philippine,NORP,"On June 13 , 1896 , Del Rosario was born in Bantayan in the Philippine province of Cebu ."
64146,birkeland,Birkeland,PRODUCT,was born to,be bear to,birkeland,Birkeland,ORG,Birkeland was born in Christiania ( Oslo today ) to Reinart Birkeland and Ingeborg ( née Ege ) and wrote his first scientific paper at the age of 18 .
215430,pupin,Pupin,PERSON,was born in,be bear in,idvor,Idvor,PERSON,"Mihajlo Pupin was born on 4 October ( 22 September , O.S. ) 1858 in the village of Idvor ( in the modern - day municipality of Kovačica , Serbia ) in the region of Banat , in the Military Frontier of the Austrian Empire ."
44058966,german,German,NORP,is in,be in,world war ii,World War II,EVENT,"During the German occupation of Denmark in World War II , Grønbech 's lectures drew large audiences , and after the war he founded the periodical "" Frie Ord "" with the theologian Hal Koch ."
14907770,clynes,Clynes,ORG,played versions by,play version by,vladimir horowitz,Vladimir Horowitz,PERSON,"When they arrived , Clynes played versions of the same Mozart sonata K 330 by six famous artists , including Vladimir Horowitz , Alicia de Larrocha , Claudio Arrau , and Mitsuko Uchida , and included the computer performance at a random position among them ."
57324380,slavist,http://www.wikidata.org/entity/Q15976341,Profession,originators of,originator of,russian,http://www.wikidata.org/entity/Q7737,Language,"Victor Ivanovich Grigorovich ( ; 30 April 1815 – 19 December 1876 ) was a Russian Slavist , folklorist , literary critic , historian and journalist , one of the originators of Slavic studies in the Russian empire ."
6133060,forsberg,Forsberg,PERSON,gave speech at,give speech at,annual,annual,DATE,"In December 1979 , Forsberg gave a speech in Louisville at the annual meeting of Mobilization for Survival , an anti-nuclear organization ."
206211,summer,Summer,ORG,was appointed to,be appoint to,director,http://www.wikidata.org/entity/Q2824523,Profession,"Upon the inauguration of Barack Obama as president in January 2009 , Summers was appointed to the post of director of the National Economic Council ."
57426599,holland,Holland,PERSON,appears in,appear in,comic,http://www.wikidata.org/entity/Q245068,Profession,"Alec Holland appears in a five - page backup in issue # 16 of the DC Animated Universe comic , "" The Batman Adventures "" ."
27936,jameson,Jameson,PERSON,as,as,editor,http://www.wikidata.org/entity/Q23016178,Profession,"Despite his role as Jameson 's editor and confidant , Robbie Robertson is always depicted as a supporter of both Peter Parker and Spider - Man ."
5260842,garnet,Garnet,ORG,was american engineer of,be american engineer of,rensselaer polytechnic institute,http://www.wikidata.org/entity/Q49211,Language,"Garnet Douglass Baltimore ( April 15 , 1859 – June 12 , 1946 ) was the first African - American engineer and graduate of Rensselaer Polytechnic Institute in Troy , New York , Class of 1881 ."
62070,curie,Curie,FAC,became,become,french,French,NORP,"Joliot - Curie became actively involved in promoting women 's education , serving on the National Committee of the Union of French Women ( "" Comité National de l'Union des Femmes Françaises "" ) and the World Peace Council ."
58602531,dahleh,Dahleh,PERSON,is,be,professor,http://www.wikidata.org/entity/Q37226,Profession,"Munther A. Dahleh ( born 1962 , Tulkarem , Palestine ) is the William Coolidge Professor of electrical engineering and computer science and director of the Massachusetts Institute of Technology ( MIT ) Institute for Data , Systems , and Society ( IDSS ) ."
863091,petros,Petros,PERSON,addressed,address,armenia,http://www.wikidata.org/entity/Q399,Country,"On 23 February 2013 , Ter - Petrosyan addressed the gathered at the Pan-Armenian National Movement party convention ."
64566331,goodwin,Goodwin,PERSON,was,be,marine,http://www.wikidata.org/entity/Q2962165,Language,"During her time at UCT , Goodwin was a visiting researcher at the Centre of Marine Biology , Baltimore , USA ."
47943316,marron,Marron,PERSON,was,be,chief executive officer,http://www.wikidata.org/entity/Q484876,Profession,Marron was the inaugural Chief Executive Officer .
54042926,feinberg,Feinberg,PERSON,told,tell,msnbc,MSNBC,ORG,"After a lawsuit by private investigator Rod Wheeler against Fox News alleged that members of the Trump administration had a hand crafting a story ( which was later retracted ) which pushed the Seth Rich murder - conspiracy theory , Feinberg told Joy - Ann Reid of MSNBC that it was "" troubling "" that both the White House and a Russian propaganda service were both attempting to promote the discredited story ."
26564527,actor,http://www.wikidata.org/entity/Q33999,Profession,was,be,tardis,TARDIS,PRODUCT,"The only factor keeping the original sequence of events in play was the Doctor 's TARDIS , which had rebuilt itself after its apparent destruction on Avalon , and had now materialised in a twisted form above Gallifrey , holding within itself the Doctor 's original reality where he had regenerated on Metebelis III and never been infected ever since it sensed that something was wrong when the Third Doctor regenerated ahead of schedule ."
49130253,university,University,ORG,is in,be in,italy,Italy,GPE,"Today , the CRB - CIRIAF is the only University in Italy by inter-research that offers a PhD course ."
7732,magneto,Magneto,PRODUCT,reveal,reveal,cyclops,Cyclops,PRODUCT,"Xavier and Magneto reveal the contents of the USB drive to Cyclops , which are shown to be information on Orchis , an organization dedicated to responding to a large - scale mutant threat and the plans of a Mother Mold ."
171133,comenius,Comenius,EVENT,was greatly influenced by,be greatly influence by,irish,http://www.wikidata.org/entity/Q9142,Language,"Comenius was greatly influenced by the Irish Jesuit William Bathe as well as his teachers Johann Piscator , , and particularly Heinrich Alsted ."
70631,alexander von humboldt,Alexander von Humboldt,PERSON,is,be,german,German,LANGUAGE,""" Alexander von Humboldt "" is also a German ship named after the scientist , originally built in 1906 by the German shipyard AG Weser at Bremen as Reserve Sonderburg ."
70631,humboldt,Humboldt,GPE,attended,attend,university,http://www.wikidata.org/entity/Q917874,Language,"Together , Humboldt and Goethe attended university lectures on anatomy and conducted their own experiments ."
48634090,ann alicia copestake,http://www.wikidata.org/entity/Q21535076,Person,fellow of,fellow of,wolfson college,Wolfson College,ORG,"Ann Alicia Copestake is professor of Computational Linguistics and head of the Department of Computer Science and Technology at the University of Cambridge and a fellow of Wolfson College , Cambridge ."
37067,sommerfeld,Sommerfeld,PERSON,took,take,debye,Debye,GPE,"In 1906 , Sommerfeld received an appointment at Munich , Bavaria , and took Debye with him as his assistant ."
26266730,crash,Crash,LOC,hires n. gin in,hire n. gin in,tapes,http://www.wikidata.org/entity/Q6754640,Language,"In the subsequent tapes , which take place following Crash 's escape from Cortex 's castle , Cortex trains Crash 's sister , whom he codenames "" Coco "" , hires N. Gin , and creates Dingodile as a potential substitute for Coco , who ultimately escapes Cortex 's castle under the guise of undertaking another trial ."
736,einstein,Einstein,ORG,accepting,accept,austrian,Austrian,NORP,"Einstein became a full professor at the German Charles - Ferdinand University in Prague in April 1911 , accepting Austrian citizenship in the Austro - Hungarian Empire to do so ."
7732,xavier,Xavier,PERSON,however was revealed,however be reveal,mystique,Mystique,PERSON,"However , this Xavier was revealed to be Mystique who Osborn found to impersonate Xavier in public ."
2624320,maestlin,Maestlin,PERSON,recounts in,recount in,kepler,Kepler,PERSON,"In a 1589 letter to Johannes Kepler , Maestlin recounts how the death of his month - old son , August , deeply troubled him ."
58622641,o'connor,O'Connor,PERSON,is also fellow of,be also fellow of,royal society,http://www.wikidata.org/entity/Q123885,Academia of Science,"O'Connor was elected a Fellow of the Royal Society of New Zealand in 1986 , and is also a Fellow of the Royal Society of Chemistry and a Fellow of the New Zealand Institute of Chemistry ."
1937060,strange,Strange,PERSON,has,have,earth,Earth,LOC,"Tom Strange is capable of flight ( or at least vast Golden Age Superman - like leaps ) , superhuman strength , and surviving indefinitely in the vacuum of space ( without air or water ) , and has invulnerability to re-entry , extreme impacts ( falling to Earth from space ) and bullets ."
1932128,doctor,http://www.wikidata.org/entity/Q4618975,Profession,is usurped by,be usurp by,darrin profitt,Darrin Profitt,PERSON,"During the "" 4th Parallel "" storyline in "" JLA Classified "" , Doctor Destiny 's control over the Materioptikon is usurped by Darrin Profitt , the Red King ."
50566828,langer,Langer,PERSON,is holder of,be holder of,france,http://www.wikidata.org/entity/Q142,Country,"Dr. Langer has published more than 450 scientific articles and is holder of at least 21 patents in France , the United States and Japan ."
19831,thatcher,Thatcher,PERSON,has,have,opposition,Opposition,ORG,"Believing that the single market would result in political integration , Thatcher 's opposition to further European integration became more pronounced during her premiership and particularly after her third government in 1987 ."
25010143,karim,Karim,PERSON,had,have,teachers,http://www.wikidata.org/entity/Q974144,Profession,"Karim , in addition to his teaching assignment , had been presidents of Dhaka University Teachers Association , Federation of Bangladesh University Teachers Association and soil science society of Bangladesh ."
80990,gorgon,Gorgon,PRODUCT,occur in,occur in,greek,http://www.wikidata.org/entity/Q41,Country,Gorgons occur in the earliest examples of Greek literature .
49828,von guericke,Von Guericke,ORG,was man in,be man in,dionysian,Dionysian,NORP,Von Guericke was a very pious man in the Dionysian tradition and attributed the vacuum of space to the creations and designs of an infinite divinity .
61972444,brundle,Brundle,PERSON,known as,know as,brundlefly,Brundlefly,PERSON,"Dr. Seth Brundle , also known as Brundlefly , is a fictional character and the anti-villain protagonist in David Cronenberg 's 1986 remake of "" The Fly "" ."
3119314,brainiac,Brainiac,PERSON,saved,save,psimon,Psimon,PERSON,"In Pre-Crisis continuity , Brainiac and the Earth - 1 Lex Luthor saved Psimon from the Anti-Monitor 's Shadow Demons and recruited him for their villain army , taking over Earths 4 , S , and X ."
36825543,pickard,Pickard,PERSON,was,be,battersea polytechnic,Battersea Polytechnic,ORG,Pickard was Principal of Battersea Polytechnic ( which later became the University of Surrey ) from 1920 to 1927 .
55874079,positions,http://www.wikidata.org/entity/Q11488158,Profession,is in,be in,ghana,http://www.wikidata.org/entity/Q117,Country,"He served in several positions in the Ghana Health Service , including being Chief Physician for Nutrition and the Director of Medical Services ."
163036,richardson,Richardson,PERSON,played,play,simeon,Simeon,PERSON,"For television , Richardson played Simeon in "" Jesus of Nazareth "" ( 1977 ) , made studio recordings of "" No Man 's Land "" ( 1978 ) and "" Early Days "" ( 1982 ) , and was a guest in the 1981 Morecambe and Wise Christmas Show ."
27302119,comics,http://www.wikidata.org/entity/Q245068,Profession,' series is,series be,atlantis,Atlantis,PRODUCT,"In The New 52 , the 2011 relaunch and retcon of DC Comics ' entire series , Vulko is the former adviser of Atlantis ."
65277090,fields medal,http://www.wikidata.org/entity/Q28835,Award,emeritus at,emeritus at,university,http://www.wikidata.org/entity/Q917874,Language,"Over 350 academic and professional colleagues signed the petition , among them Freeman Dyson , Professor Emeritus of Physics at the Institute for Advanced Study in Princeton ; Fields Medal laureate David Mumford , Professor Emeritus of Mathematics at Brown University ; Chandler Davis , Professor Emeritus of Mathematics at the University of Toronto and Noam Chomsky ."
7732,daken,Daken,PERSON,won,win,xavier,Xavier,PRODUCT,Just as Daken appears to have won Xavier pulls both of them onto the astral plane revealing that the psychic bomb had little effect on him because his psyche was already shattered .
56064277,lindberg,Lindberg,ORG,was born as,be bear as,manager,http://www.wikidata.org/entity/Q6746710,Profession,"John Gustaf Lindberg was born to Gustaf Robert Lindberg ( 1844 – 1929 ) , a Finnish engineer working in St. Petersburg , Russia , as a department manager in St. Petersburg Metalworks supervising the construction of boilers for steam engines and of metal bridges , and Anna Heloise Rautelin ."
34602710,medal,http://www.wikidata.org/entity/Q131647,Award,was,be,award,http://www.wikidata.org/entity/Q66744316,Award,He was later awarded the Muybridge Medal of the International Society of Biomechanics ( ISB ) and the Lifetime Achievement Award of The Gait and Clinical Movement Analysis Society .
736,einstein,http://www.wikidata.org/entity/Q937,Person,has,have,mechanics,http://www.wikidata.org/entity/Q327029,Profession,Einstein 's objections to quantum mechanics .
36450041,d'auvergne,d'Auvergne,PRODUCT,elected,elect,fellow,http://www.wikidata.org/entity/Q10519151,Award,D'Auvergne obtained an honorary degree in 1785 and elected Fellow of the Royal Society on 11 June 1786 .
736,einstein,http://www.wikidata.org/entity/Q937,Person,was,be,pastor,http://www.wikidata.org/entity/Q152002,Profession,"Einstein 's visit was initiated by Jorge Duclout ( 1856 – 1927 ) and Mauricio Nirenstein ( 1877 – 1935 ) with the support of several Argentine scholars , including Julio Rey Pastor , Jakob Laub , and Leopoldo Lugones ."
40795117,anne balsamo,Anne Balsamo,PERSON,is former dean at,be former dean at,university,http://www.wikidata.org/entity/Q917874,Language,"Anne Balsamo is the former Dean of the School of Arts Technology and Emerging Communication at the University of Texas at Dallas , she still serves as a Professor at the school ."
66226765,dorado,Dorado,ORG,obtained,obtain,doctor,http://www.wikidata.org/entity/Q4618975,Award,"In 2018 Dorado obtained the La Caixa Young Postdoctoral Leaders Scholarship , she carried out her research titled "" Evaluación integrada de los futuros efectos del cambio climático en el crecimiento de los bosques de retaguardia en el Mediterráneo "" [ Integrated Assessment of the future effects of climate change on the growth of rearguard forests in the Mediterranean ] at the Polytechnic University of Madrid ."
23272775,westphal,Westphal,PERSON,has,have,director,http://www.wikidata.org/entity/Q3455803,Profession,"Gerry Neugebauer , who was Westphal 's predecessor as Director of Palomar Observatory , explained , "" What I liked most about Jim was how much he enjoyed science ."
26564527,big finish productions,Big Finish Productions,WORK_OF_ART,describes,describe,doctor,http://www.wikidata.org/entity/Q4618975,Award,"The Big Finish Productions website describes the Eighth Doctor as "" an enthusiastic figure who explores the universe for the sheer love of it "" , always surviving on the strength of his excellent improvisational skills rather than preparing elaborate plans ."
56991643,yusufbekov,Yusufbekov,PERSON,were revealed at,be reveal at,institute,Institute,ORG,Khudoyor Yusufbekov 's scientific and organizational abilities were revealed at the post of director of the institute .
1871881,unionist,Unionist,NORP,thereafter flew,thereafter fly,richmond,Richmond,GPE,"Thereafter a staunch Unionist , over his house flew the last Union flag in Richmond , in April 1861 ."
66431065,odingo,Odingo,ORG,was appointed,be appoint,lecturer,http://www.wikidata.org/entity/Q1569495,Profession,Odingo was appointed Lecturer in Geography at Makerere University College before moving to the University College in Nairobi in 1965 .
1130,avicenna,Avicenna,NORP,has,have,islamic,Islamic,NORP,"Avicenna 's views on Islamic theology ( and philosophy ) were enormously influential , forming part of the core of the curriculum at Islamic religious schools until the 19th century ."
2361661,massey,Massey,PERSON,served as,serve as,board member,http://www.wikidata.org/entity/Q2824523,Profession,"In concert with his roles at Argonne and the University of Chicago , in 1987 Massey was named president of the American Association for the Advancement of Science , after having served as a board member for a number of years ."
50990089,huffman,Huffman,PERSON,served as,serve as,teacher,http://www.wikidata.org/entity/Q974144,Profession,"She worked with the Chicago Museum of Science and Industry as they produced the Omnimax movie , "" Antarctica "" "" , "" and co-authored the companion book , "" Antarctica : A Living Classroom "" During summer breaks from ~ 1995 , Huffman served as a facilitator in the Golden Apple Foundation Summer Science Inquiry for Teachers workshops held at the Chicago Museum of Science and Industry and the University of Chicago ."
36391995,james john miles,http://www.wikidata.org/entity/Q6136873,Person,is retired professor in,be retired professor in,university,University,ORG,James John Miles ( born 1959 ) is a retired Professor of Computer Engineering in the School of Computer Science at the University of Manchester where he previously was head of the school and a member of the Nano Engineering & Storage Technology Research Group ( NEST ) .
10315,armstrong,http://www.wikidata.org/entity/Q4793919,Language,lashed out at_time,lash out at_time,one day,one day,DATE,"Bitter and overtaxed by years of litigation and mounting financial problems , Armstrong lashed out at his wife one day with a fireplace poker , striking her on the arm ."
64146,birkeland,Birkeland,PRODUCT,was,be,birkeland,Birkeland,PERSON,Birkeland was born in Christiania ( Oslo today ) to Reinart Birkeland and Ingeborg ( née Ege ) and wrote his first scientific paper at the age of 18 .
63442289,konstantin igorevich pozdniakov,http://www.wikidata.org/entity/Q39387217,Person,is french linguist,be french linguist,mande,Mande,LANGUAGE,"Konstantin Igorevich Pozdniakov ( born July 24 , 1952 , Leningrad , USSR ) is a Russian - French linguist who works on the comparative - historical linguistics of the Mande , Atlantic , and Niger - Congo families ."
31019143,delaney,Delaney,PERSON,is in,be in,washington,http://www.wikidata.org/entity/Q777403,Language,"He was then managing partner of Montgomery & Associates from 1989 to 1994 ; oversaw European operations for Braddock Dunn & McDonald in Berlin and as a group manager for IABG in Munich from 1994 to 1997 ; and founder and president of the Delaney Group Inc. in Washington , D.C. from 1997 to 1999 ."
412419,captain britain,Captain Britain,PERSON,is fictional league of,be fictional league of,marvel,Marvel,ORG,The Captain Britain Corps is a fictional league of super-heroes appearing in American comic books published by Marvel Comics .
54774201,priestley,Priestley,PERSON,was,be,companion,http://www.wikidata.org/entity/Q5155473,Profession,"In July 2018 , Priestley was elected as a Companion of the Royal Society Te Apārangi ."
5585308,smith,Smith,PERSON,was revealed during,be reveal during,doctor,Doctor,PERSON,"Smith 's casting in the role was revealed during an episode of "" Doctor Who "" s companion show "" Doctor Who Confidential "" , during which he described the role as "" a wonderful privilege and challenge that I hope I will thrive on "" ."
50478167,van der merwe,van der Merwe,PERSON,paved,pave,model,http://www.wikidata.org/entity/Q4610556,Profession,Van der Merwe 's model of atomic forces paved the way for successful modelling of important physical phenomena in solids at the atomic scale .
39627443,california,California,GPE,operate as,operate as,hawaii,Hawaii,GPE,"He left California to operate the seismic station as a research associate at the Hawaiian Volcano Observatory from 1912 to 1917 , and while there prepared a report on the necessity for additional earthquake research in Southern California ."
12547727,epstein,Epstein,PERSON,has received,have receive,pioneer,http://www.wikidata.org/entity/Q13393921,Profession,Epstein has received awards including the NIH Director 's Pioneer Award ( 2008 ) .
19433992,gibbs,Gibbs,PERSON,received,receive,young alumni awards of excellence,Young Alumni Awards of Excellence,WORK_OF_ART,"Gibbs received a 2016 Young Alumni Awards of Excellence from her alma mater , the University of Ottawa ."
51079,models,http://www.wikidata.org/entity/Q1630100,Profession,exist for,exist for,magnet,http://www.wikidata.org/entity/Q6731415,Person,Two different models exist for magnets : magnetic poles and atomic currents .
32162618,brown,Brown,PERSON,returned as,return as,manager,http://www.wikidata.org/entity/Q628099,Profession,"In 1961 , Brown returned to DuPont 's Savannah River Laboratory as manager of basic physics and applied mathematics ."
1896765,griffith,Griffith,ORG,foreshadowed,foreshadow,world war i,World War I,EVENT,Griffith 's stories foreshadowed World War I and foretold a utopian communist revolution in the United States .
22152236,kammen,Kammen,GPE,is noted as,be note as,change,http://www.wikidata.org/entity/Q5071694,Language,"Kammen is noted as a coordinating lead author for the Intergovernmental Panel on Climate Change , which won the 2007 Nobel Peace Prize for their report , "" Climate Change 2007 "" , assessing man - made global warming ."
65277090,directors,http://www.wikidata.org/entity/Q3455803,Profession,letter to,letter to,ambassador,http://www.wikidata.org/entity/Q121998,Profession,"He was released on 18 January 2015 , after the directors of Euroscience addressed a letter of concern to the then Israeli ambassador to France , Yossi Gal , stating that in the absence of public evidence , the group considered his detention as a serious infringement of academic freedom ."
1832132,ghostbusters,Ghostbusters,ORG,working proton pack in,work proton pack in,ghostbusters,Ghostbusters,WORK_OF_ART,"The Ghostbusters in "" Extreme Ghostbusters "" keep a statue of Peter Venkman , complete with uniform and working original Proton Pack , in the Ghostbusters Firehouse ."
1980551,doctor,http://www.wikidata.org/entity/Q34358,Person,was also influenced 's,be also influence 's,doctor,Doctor,WORK_OF_ART,"Smith has also stated that his Doctor costume , in particular the bow - tie , was also influenced by the Second Doctor 's , after Smith cited the Troughton story "" The Tomb of the Cybermen "" as a favourite story ."
11490381,hebrew,http://www.wikidata.org/entity/Q9288,Language,jewish question in,jewish question in,russia,http://www.wikidata.org/entity/Q159,Country,"The following is a list of his more important works : Russian : "" The Organic Life of the Language "" ( 1871 ) , published in the "" Viestnik Yevropy "" ; "" Grammar of the Hebrew Language "" ( Wilna , 1871 ) ; "" Book of Exercises in the Chaldean Language "" ( 1875 ) ; "" Complete Russian - Hebrew Dictionary "" ( 1880 ) ; "" Hebrew and Chaldean Dictionary of the Bible , "" awarded a prize by the Holy Synod ; "" The Jewish Question in Russia "" ( 1882 ) ; "" Complete Russian - Hebrew - German Dictionary "" ( 1888 ) , seventeen editions ; "" The World and Life , "" two editions ; "" Count Muraviev and His Relations to the Jews of the Northwestern Parts of Russia "" ( 1889 ) ; "" The Five Books of Moses , "" with commentary ."
7713110,griff,Griff,PERSON,are mascots for,be mascot for,university,University,ORG,"Griffins are also mascots for VU University Amsterdam , Reed College , Sarah Lawrence College , the University of Guelph , and Canisius College ."
62775136,aleksandr aleksandrovich blagonravov,Aleksandr Aleksandrovich Blagonravov,PERSON,was engineer,be engineer,designer,http://www.wikidata.org/entity/Q5322166,Profession,Aleksandr Aleksandrovich Blagonravov ( ; 24 May 1933 – 1 January 2020 ) was a Soviet and Russian military engineer and designer who worked on the designs of armoured vehicles .
66317619,editor,http://www.wikidata.org/entity/Q23016178,Profession,recipient of,recipient of,guggenheim fellowship,http://www.wikidata.org/entity/Q1316544,Award,"The recipient of a Guggenheim Fellowship , he held the editor position at both "" Nutrition Reviews "" and the "" Annual Review of Nutrition "" ."
56720227,kitov,Kitov,PERSON,is creator of,be creator of,language,http://www.wikidata.org/entity/Q36848,Language,A. Kitov is the creator of two algorithmic programming languages - ALGEM and NORMIN .
53837175,shore,http://www.wikidata.org/entity/Q34139,Language,was american scholar at,be american scholar at,school,http://www.wikidata.org/entity/Q98399111,Language,Dorothy Shore Zinberg was an American scholar at Harvard Kennedy School and an Elected Fellow of the American Association for the Advancement of Science .
412419,braddock,Braddock,PERSON,be,be,ultimates,Ultimates,PRODUCT,Dr. Jamie Braddock is revealed to be the new Captain Britain in the Ultimates .
37067,dutch,Dutch,NORP,asked,ask,university,http://www.wikidata.org/entity/Q917874,Language,"It is in fact remarkable that only "" because of circumstances beyond our control "" the membership of Jews can no longer be maintained "" In May 2006 , the Dutch Nobel Prize winner Martinus Veltman who had written the foreword to the Rispen book , renounced the book 's description of Peter Debye , withdrew his foreword , and asked the Board of Directors of Utrecht University to rescind their decision to rename the Debye Institute ."
56562025,pioneer,http://www.wikidata.org/entity/Q13393921,Profession,is in,be in,paediatric,Paediatric,NORP,"In 1974 he received the Rosén von Rosenstein Medal of the Swedish Paediatric Association , named after the Swedish pioneer in paediatrics , Nils Rosén von Rosenstein ."
